Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,13,2.448,1537.2
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,40,2.092,1396
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,40,0.744,404
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,20,0.632,416
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,40,1.576,924
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,20,0.78,542
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,30,1.569,1059
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.528,942
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,20,1.45,956
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,135051,28x9-15,ROCK SOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,30,3.192,1791
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,154051,10.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,168.6,0.279,12,3.348,2023.2
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,155051,12.00 - 20,ROCKSOLID,BLACK,STD,8,3 LAYER,208.4,0.3327,12,3.9924,2500.8
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,156051,12.00 - 20,ROCK SOLID,BLACK,STD,8.5,3 LAYER,211,0.3327,16,5.3232,3376
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,20,2.128,1212
19.12.2023,ARY - KSA,281,SAUDI ARABIA-ARY(GTT)-Order 15,768,156001,12.00 - 20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,1,0.31,207.4
