Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,111011,6.00 - 9 ,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0383,64,2.4512,1664
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,119011,6.50 - 10 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0508,32,1.6256,1078.4
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,125011,7.00 - 12 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,5,0.3455,228.5
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,152011,10.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,156.2,0.2622,10,2.622,1562
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,154011,10.00-20 ,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.2622,10,2.622,1574
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,103012,16 x 6 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0257,20,0.514,320
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,30,0.909,627
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,110012,140/55 x 9 ,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,10,0.179,100
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,112012,21 x 8 - 9 ,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,33.6,0.0478,10,0.478,336
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,119012,6.50 - 10 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0508,20,1.016,684
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,120012,23 x 9 - 10 ,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,30,1.881,1335
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,125012,7.00 - 12 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,20,1.382,922
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,6,0.6294,391.2
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,136012,28 x 12.5 - 15  ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,10,1.354,842
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,139012,3.00-15 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1701,10,1.701,1035
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,110042,140/55 x 9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,20,0.372,206
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,138052,8.25 - 15 ,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,20,2.77,1784
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,712071,16 x 7 x 10 1/2 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,32,0.9664,729.6
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,714071,18 x 6 x 12 1/8 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,32,1.0496,729.6
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,738071,28 x 12 x 22 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,10,1.545,835
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,711072,16 x 6 x 10 1/2 ,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,40,1.036,764
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,722073,22 x 8 x 16 ,RUNNER BAND,NM,SMOOTH,-,2 LAYER,43,0.0652,8,0.5216,344
20.11.2023,UNITED KINGDOM,258,UK/RTL- ORDER 40,775,716073,18 x 8 x 12 1/8 ,RUNNER BAND,NM,SMOOTH,-,2 LAYER,31.1,0.0437,4,0.1748,124.4
