Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,50,1.515,1040
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,100001,4.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,10.9,0.0166,34,0.5644,370.6
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,102241,5.00-8 (Wide wall),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,40,1.052,704
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,112001,21X8-9,ACHIEVER,BLACK,STD,6,2 LAYER,34.1,0.0478,14,0.6692,477.4
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,40,2.032,1432
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,24,1.6584,1123.2
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,141001,7.00-15,ACHIEVER,BLACK,STD,5.5,2 LAYER,58.9,0.1107,20,2.214,1178
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,20,2.048,1192
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,133001,2.50-15,ACHIEVER,BLACK,STD,7,2 LAYER,65.6,0.1049,8,0.8392,524.8
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,151001,9.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,20,4.08,2562
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,6,0.1074,60
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,10,0.303,209
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,112002,21X8-9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,10,0.478,342
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,120242,23X9-10 (Wide wall),ACHIEVER,BLACK,CLIP,6.5,2 LAYER,47.3,0.068,14,0.952,662.2
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,126002,23X10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,4,0.3096,204.8
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,119243,6.50 - 10 (Wide wall),ACHIEVER,NM,STD,5,2 LAYER,35.9,0.0508,6,0.3048,215.4
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,126004,23X10-12,ACHIEVER,NM,CLIP,8,2 LAYER,51.3,0.0774,6,0.4644,307.8
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,166341,31X10-20 (Without Aperture),SKID SOLID,BLACK,STD,7.5,2 LAYER,64.6,0.1446,12,1.7352,775.2
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,163341,33X12-20  (Without Aperture),SKID SOLID,BLACK,STD,7.5,2 LAYER,91.4,0.1982,12,2.3784,1096.8
23.11.2023,SIN-ENG-HUAT,261,SIN-ENG-HUAT - ORDER 4,778,167341,36X14-20  (Without Aperture),SKID SOLID,BLACK,STD,7.5,2 LAYER,131,0.265,12,3.18,1572
