Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,102244,5.00-8 (WIDE),ACHIEVER,NM,CLIP,3,2 LAYER ,17.8,0.0263,20,0.526,356
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,101004,15X4 1/2-8 ,ACHIEVER,NM,CLIP,3,2 LAYER ,9.3,0.0147,100,1.47,930.00
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,110004,140 / 55 - 9,ACHIEVER,NM,CLIP,4,2 LAYER ,10,0.0179,200,3.58,2000
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,103004,16 x 6 - 8 ,ACHIEVER,NM,CLIP,4.33,2 LAYER ,16.1,0.0244,20,0.488,322.00
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,104004,18 x 7- 8,ACHIEVER,NM,CLIP,4.33,2 LAYER ,21,0.0303,150,4.545,"3,150.00"
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,118004,200/50 - 10,ACHIEVER,NM,CLIP,6.50,2 LAYER ,23.9,0.0388,100,3.88,2390
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,119244,6.50-10 (WIDE),ACHIEVER,NM,CLIP,5,2 LAYER ,36.2,0.0508,12,0.6096,434.40
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,120244,23x9-10 (WIDE),ACHIEVER,NM,CLIP,6.5,2 LAYER ,47,0.068,30,2.04,1410
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,125004,7.00-12,ACHIEVER,NM,CLIP,5,2 LAYER ,47.2,0.0691,12,0.8292,566.4
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,165321,31x10x16 (Aperture),SKIDSOLID,BLACK,STD,6,2 LAYER ,74.2,0.1446,2,0.2892,148.4
24.11.2023,POR-TGP,264,POR-TGP-ORDER 03,782,165321,31x10x16 (Aperture),SKIDSOLID,BLACK,STD,6,2 LAYER ,74.2,0.1446,2,0.2892,148.4
