Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,141001,7.00-15,ACHIEVER ,BLACK,STD,5.5,2 LAYER,58.9,0.0943,8,0.754,471.2
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,103001,16x6-8 ,ACHIEVER ,BLACK,STD,4.33,2 LAYER,15.8,0.0244,20,0.488,316
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,112001,21x8-9 ,ACHIEVER ,BLACK,STD,6,2 LAYER,34.1,0.0478,10,0.478,341
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,141002,7.00-15,ACHIEVER ,BLACK,CLIP,5.5,2 LAYER,59.7,0.0943,8,0.754,477.6
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,118002,200/50-10,ACHIEVER ,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,20,0.776,478
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,102242,5.00-8 (WIDE),ACHIEVER ,BLACK,CLIP,3,2 LAYER,17.9,0.0263,10,0.263,179
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,102243,5.00-8 (WIDE),ACHIEVER ,NM Off-White,STD,3,2 LAYER,17.8,0.0263,42,1.105,747.6
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,103003,16x6-8 ,ACHIEVER ,NM Off-White,STD,4.33,2 LAYER,15.8,0.0244,40,0.976,632
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,104003,18x7-8 ,ACHIEVER ,NM Off-White,STD,4.33,3 LAYER,20.8,0.0303,40,1.212,832
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,5,0.679,457.5
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,110014,140/55-9,ACHIEVER PLUS,NM Off-White,CLIP,4,3 LAYER,9.85,0.0179,20,0.358,197
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,103042,16x6-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,40,1.052,664
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.259,174.00
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,126042,23x10-12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.528,942.00
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,103043,16x6-8 ,RUNNERSOLID,NM Lt. CREAM,STD,4.33,3 LAYER,16.3,0.0263,20,0.526,326
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,104043,18x7-8 ,RUNNERSOLID,NM Lt. CREAM,STD,4.33,3 LAYER,20.8,0.0316,20,0.632,416.00
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,112043,21x8-9 ,RUNNERSOLID,NM Lt. CREAM,STD,6,3 LAYER,33.6,0.0494,10,0.494,336.00
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,103044,16x6-8 ,RUNNERSOLID,NM Lt. CREAM,CLIP,4.33,3 LAYER,16.6,0.0263,20,0.526,332.00
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,104044,18x7-8 ,RUNNERSOLID,NM Lt. CREAM,CLIP,4.33,3 LAYER,20.7,0.0316,20,0.632,414
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,55.7,0.0946,8,0.757,445.60
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,88.7,0.1385,12,1.662,"1,064.40"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,108.1,0.1711,12,2.053,"1,297.20"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,156431,12.00-20 (CW),ROCKSOLID,BLACK,STD,8.5,3 LAYER,259,0.3327,4,1.331,"1,036.00"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,136052,28x12 1/2 -15 ,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,12,1.638,925.2
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.7,0.1385,20,2.77,"1,774.00"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,20,3.422,"2,182.00"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,135054,28x9-15 ,ROCKSOLID,NM Lt. CREAM,CLIP,,3 LAYER,61.1,0.1064,4,0.426,244.4
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,139054,3.00-15,ROCKSOLID,NM Lt. CREAM,CLIP,8,3 LAYER,109.3,0.1711,28,4.791,"3,060.40"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,730071,16 1/4x7x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,4,0.125,89.2
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,717071,18x9x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.4,0.0491,4,0.196,137.6
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,746071,33x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,155.4,0.2512,8,2.01,"1,243.20"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,16,1.566,"1,038.40"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,740071,28x10x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,69.5,0.1288,8,1.03,556
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,739071,28x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,99.1,0.1803,28,5.048,"2,774.80"
28.11.2023,RUS-TLL,268,RUSSIA OREDR - 14,786,RMSS0002,12.00-20,-,BLACK,-,-,-,28.5,0.04,2,0.08,57
