Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,30,0.51,309
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,16,0.3,164.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,30,0.79,498
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,80,2.53,"1,664.00"
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,30,1.18,693
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,112042,21 X 8 - 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,20,0.99,670
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,10,0.39,271
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,8,0.42,282.4
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,30,1.97,"1,341.00"
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,126042,23 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,6,0.46,282.6
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,6,0.44,286.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,10,1.05,696
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,100,1.71,"1,030.00"
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,30,0.56,311.85
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,103044,16 X 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,50,1.32,830
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,100,3.16,"2,070.00"
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,30,1.18,696
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,102044,5.00-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,17.4,0.0259,4,0.1,69.6
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,111044,6.00-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,27.1,0.039,4,0.16,108.4
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,112044,21 X 8 - 9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,10,0.49,338
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,119044,6.50-10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.8,0.0523,4,0.21,143.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,120044,23 X 9 - 10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,10,0.66,448
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,126044,23 X 10 - 12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,14,1.07,665
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,125044,7.00 - 12,RUNNERSOLID,NM,CLIP,5,3 LAYER,48.1,0.0725,10,0.73,481
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,127044,27 X 10 - 12,RUNNERSOLID,NM,CLIP,8,3 LAYER,70.3,0.1051,4,0.42,281.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.38,225.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,135052,28 X 9 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,8,0.85,484.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,133052,2.50 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,12,1.38,805.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,136052,28 X 12 1/2 - 15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,4,0.55,308.4
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,138052,8.25 - 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.7,0.1385,8,1.11,709.6
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,8,1.37,872.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,141054,7.00-15,ROCKSOLID,NM,CLIP,5.5,3 LAYER,56.7,0.0946,4,0.38,226.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,135054,28 X 9 - 15,ROCKSOLID,NM,CLIP,7,3 LAYER,61.1,0.1064,2,0.21,122.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,133054,2.50 - 15,ROCKSOLID,NM,CLIP,7,3 LAYER,68.1,0.1149,4,0.46,272.4
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,136054,28 X 12 1/2 - 15,ROCKSOLID,NM,CLIP,9.75,3 LAYER,77.7,0.1365,8,1.09,621.6
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,138054,8.25 - 15,ROCKSOLID,NM,CLIP,6.5,3 LAYER,89.8,0.1385,4,0.55,359.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,139054,3.00-15,ROCKSOLID,NM,CLIP,8,3 LAYER,109.3,0.1711,4,0.68,437.2
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,163321,33x12-20(Aperture),SKIDSOLID,BLACK,STD (Left),7.5,2 LAYER,88.8,0.1982,1,0.2,88.8
01.12.2023,POL-WSZ,269,POL-WSZ- ORDER 02,788,163321,33x12-20(Aperture),SKIDSOLID,BLACK,STD (Right),7.5,3 LAYER,88.8,0.1982,1,0.2,88.8
