Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,30,0.909,624
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,60,4.146,"2,742.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,20,2.048,"1,186.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,200,7.66,"5,280.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,120,6.096,"4,224.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,40,1.028,632
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,40,1.052,680
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,40,1.532,"1,028.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,60,3.048,"2,040.00"
12/5/2023,AUS-TFY,275,AUS/TFY- CONTAINER 22,794,139163,3.00-15 (WIDE),ACHIEVER PLUS,NM,STD,8,3 LAYER ,105.9,0.1701,8,1.361,847.2
12/7/2023,AUS-TFY,275,AUS/TFY- CONTAINER 24,794,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,6,0.197,136.8
12/8/2023,AUS-TFY,275,AUS/TFY- CONTAINER 25,794,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,16,0.832,566.4
