Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,101041,"15x4,5-8 ",RUNNERSOLID,BLACK,STD,3,3 LAYER,10.1,0.0171,40,0.684,404
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,10,0.172,107
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,30,0.777,513
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,190,6.004,"3,895.00"
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,40,1.56,"1,072.00"
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,180,9.414,"6,282.00"
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,50,3.625,"2,345.00"
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,110042,140/55-9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,10,0.186,103
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,101042,"15x4,5-8 ",RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,20,0.342,206
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,11,0.0172,10,0.172,110
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,103042,16x6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.263,166
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,20,0.632,416
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,10,0.523,353
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,40,4.164,"2,348.00"
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,101043,"15x4,5-8 ",RUNNERSOLID,NM,STD,3,3 LAYER,10.2,0.0171,6,0.103,61.18
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.8,0.039,20,0.78,536
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,125043,7.00-12,RUNNERSOLID,NM,STD,5,3 LAYER,47.9,0.0725,20,1.45,958
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,20,0.632,414
18.12.2023,HUN-NKF,282,HUN/NKF-ORDER 01,801,119044,6.50-10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.8,0.0523,10,0.523,358
