Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.12.2023,USA-RRL,284,RRL ORDER 21,804,701071,10X5X6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,100,0.84,770
27.12.2023,USA-RRL,284,RRL ORDER 21,804,704071,14X4 1/2X8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,50,0.75,600
27.12.2023,USA-RRL,284,RRL ORDER 21,804,711071,16X6X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,120,3.11,"2,352.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,714071,18X6X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,30,0.98,684
27.12.2023,USA-RRL,284,RRL ORDER 21,804,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,40,2.08,"1,416.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,730072,16 1/4x7x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,20.9,0.0312,40,1.25,836
27.12.2023,USA-RRL,284,RRL ORDER 21,804,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,40,2.08,"1,388.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,720072,21x8x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,40,0.0594,40,2.38,"1,600.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,714073,18X6X12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,23,0.0328,30,0.98,690
27.12.2023,USA-RRL,284,RRL ORDER 21,804,715073,18X7X12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,24,0.92,638.4
27.12.2023,USA-RRL,284,RRL ORDER 21,804,716073,18X8X12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,31.1,0.0437,20,0.87,622
27.12.2023,USA-RRL,284,RRL ORDER 21,804,719073,21x7x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,35.6,0.052,40,2.08,"1,424.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,723073,22x9x16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,49.1,0.0734,16,1.17,785.6
27.12.2023,USA-RRL,284,RRL ORDER 21,804,730074,16 1/4x7x11 1/4,RUNNERBAND,NM,TRACTION,-,2 LAYER,20.8,0.0312,40,1.25,832
27.12.2023,USA-RRL,284,RRL ORDER 21,804,715074,18X7X12 1/8,RUNNERBAND,NM,TRACTION,-,2 LAYER,25.7,0.0382,24,0.92,616.8
27.12.2023,USA-RRL,284,RRL ORDER 21,804,719074,21x7x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,34.6,0.052,40,2.08,"1,384.00"
27.12.2023,USA-RRL,284,RRL ORDER 21,804,720074,21x8x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,40.1,0.0594,40,2.38,"1,604.00"
