Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119001,6.50 - 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,60,2.93,"2,040.00"
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,101002,15 X 4 1/2 - 8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0147,2,0.03,18.40
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104002,18 X 7 - 8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,25,0.76,522.5
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,30,1.16,717.00
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119002,6.50 - 10,ACHIEVER,BLACK,CLIP,5,2 LAYER,34.6,0.0488,10,0.49,346
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,120002,23 X 9 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,12,0.75,552.00
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,126002,23 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,6,0.46,307.20
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,135002,8.15 - 15,ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,23,2.36,"1,386.90"
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,138002,8.25 - 15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,10,1.23,845
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,136002,28 X 12 1/2 - 15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,85.4,0.1354,4,0.54,341.6
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,139002,3.00-15,ACHIEVER,BLACK,CLIP,8,2 LAYER,104.3,0.1563,2,0.31,208.60
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,111003,6.00-9,ACHIEVER,NM,STD,4,2 LAYER,26.7,0.0377,2,0.08,53.4
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,101004,15 X 4 1/2 - 8,ACHIEVER,NM,CLIP,3,2 LAYER,9.3,0.0147,20,0.29,186.00
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,110004,140 / 55 - 9,ACHIEVER,NM,CLIP,4,2 LAYER,10,0.0179,30,0.54,300.00
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104004,18 X 7 - 8,ACHIEVER,NM,CLIP,4.33,2 LAYER,21,0.0303,30,0.91,630
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118004,200 / 50 - 10,ACHIEVER,NM,CLIP,6.5,2 LAYER,23.9,0.0388,30,1.16,717
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,111004,6.00-9,ACHIEVER,NM,CLIP,4,2 LAYER,27,0.0377,4,0.15,108
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119004,6.50 - 10,ACHIEVER,NM,CLIP,5,2 LAYER,34.6,0.0488,8,0.39,276.8
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,135004,8.15 - 15,ACHIEVER,NM,CLIP,7,2 LAYER,60.8,0.1024,4,0.41,243.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,120004,23 X 9 - 10,ACHIEVER,NM,CLIP,6.5,2 LAYER,46.2,0.0627,10,0.63,462
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,136004,28 X 12 1/2 - 15,ACHIEVER,NM,CLIP,9.75,2 LAYER,84.9,0.1354,4,0.54,339.6
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,2 LAYER,26,0.0377,4,0.15,104
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119011,6.50 - 10,ACHIEVER PLUS,BLACK,STD,5,2 LAYER,33.7,0.0488,10,0.49,337
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,103012,16 X 6 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,10,0.24,160
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104012,18 X 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.61,418
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118012,200 / 50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,10,0.39,239
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119012,6.50 - 10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,6,0.29,205.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,101014,15 X 4 1/2 - 8,ACHIEVER PLUS,NM,CLIP,3,3 LAYER,9.2,0.0147,20,0.29,184
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,24,0.43,236.4
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104014,18 X 7 - 8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.61,408
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118014,200 / 50 - 10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,10,0.39,236
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,126014,23 X 10 - 12,ACHIEVER PLUS,NM,CLIP,8,2 LAYER,49.7,0.0774,2,0.15,99.4
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,4,0.21,139.6
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,30,0.95,624
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,112042,21 X 8 - 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0478,8,0.38,268
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,12,0.47,277.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,4,0.21,141.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,14,0.92,625.8
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,135042,8.15 - 15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,20,2.08,"1,174.00"
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1066,2,0.21,139.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,20,0.34,206
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,30,0.56,311.85
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,103044,16 X 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,30,0.95,621
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,16,0.63,371.2
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,126044,23 X 10 - 12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,10,0.76,475
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,165321,31x10-16 (WAP), SKID SOLID,BLACK,STD,6,2 LAYER,74.2,0.1446,2,0.29,148.4
27.12.2023,TUK-FFL,285,TURKEY OREDR 19,805,166321,31x10-20 (WAP), SKID SOLID,BLACK,STD,7.5,2 LAYER,62.6,0.1446,2,0.29,125.2
