Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,100,2.63,"1,740.00"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,60,1.542,978.00
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,50,1.515,"1,040.00"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,80,5.528,"3,656.00"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,6,0.614,355.8
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,80,3.064,"2,112.00"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,110,5.588,"3,872.00"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,20,0.98,688
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,4,0.543,362.4
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.2
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,12,1.132,704.4
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,203.9,0.3074,6,1.844,"1,223.40"
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,10,0.508,354
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,20,1.016,680
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,20,0.98,668
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,6,0.629,376.8
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER ,20.5,0.0316,9,0.284,184.5
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,111043,6.00-9 ,RUNNERSOLID,NM,STD,4,3 LAYER ,26.8,0.039,9,0.351,241.2
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,704071,14x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,4,0.06,48
05.01.2024,AUS-TFY,3,AUS/TFY- CONTAINER 24,813,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,4,0.131,91.2
