Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,2,0.08,53.2
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,102001,5.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,15.7,0.0232,4,0.09,62.8
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,119001,6.50 - 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,60,2.93,"2,040.00"
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,8,2.46,"1,659.20"
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,111002,6.00-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,27,0.0377,3,0.11,81
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,104002,18 X 7 - 8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,15,0.45,313.50
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,118002,200 / 50 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,10,0.39,239
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,135002,8.15 - 15,ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,30,3.07,"1,809.00"
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,120002,23 X 9 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,2,0.13,92
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,141002,7.00-15,ACHIEVER,BLACK,CLIP,5.5,2 LAYER,59.7,0.0943,4,0.38,238.8
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,145002,7.50-15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,69.59,0.1107,4,0.44,278.36
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,126002,23 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,6,0.46,307.2
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,136002,28 X 12 1/2 - 15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,85.4,0.1354,2,0.27,170.8
08.01.2024,TUK-FFL,286,TURKEY OREDR 20,814,102003,5.00-8,ACHIEVER,NM,STD,3,2 LAYER,15.7,0.0232,6,0.14,94.2
