Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,12,0.31,195.6
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,102161,5.00-8 (WIDE,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,20,0.53,348
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,24,0.9,633.6
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,22,1.12,774.4
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,50,0.81,495
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,90,1.61,900
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,103162,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,14,0.36,232.4
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,102162,5.00-8 (WIDE,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,12,0.32,211.2
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,104012,18X7-8  ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,74,2.24,"1,546.60"
11.01.2024,ISRL-KST,8,ISRL-KST- ORDER - 37,818,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,40,1.55,956
