Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,101002,15x4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0147,28,0.412,257.6
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,12,0.215,120
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,32,0.97,668.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,112002,21x8-9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,4,0.191,136.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,126002,23x10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,4,0.31,204.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,127002,27x10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,74.7,0.1066,4,0.426,298.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,101004,15x4 1/2-8,ACHIEVER,NM,CLIP,3,2 LAYER,9.3,0.0147,48,0.706,446.4
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,110004,140/55-9,ACHIEVER,NM,CLIP,4,2 LAYER,10,0.0179,12,0.215,120.00
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,118004,200x50-10,ACHIEVER,NM,CLIP,6.5,2 LAYER,23.9,0.0388,48,1.862,"1,147.20"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,111244,6.00-9 (Wide Wall),ACHIEVER,NM,CLIP,4,2 LAYER,27.3,0.0383,4,0.153,109.2
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,138244,8.25-15 (Wide Wall),ACHIEVER,NM,CLIP,6.5,2 LAYER,94.2,0.1358,4,0.543,376.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,139244,3.00-15 (Wide Wall),ACHIEVER,NM,CLIP,8,2 LAYER,110.7,0.1701,4,0.68,442.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,151011,9.00 - 20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,4,0.816,508.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,153161,10.00 - 20 (Wide Wall),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.246,4,0.984,669.2
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,156011,12.00 - 20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,4,1.23,818.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,101042,15x4 1/2-8,RUNNER SOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,48,0.821,484.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,110042,140/55-9,RUNNER SOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,24,0.446,247.2
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,103042,16x6-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,36,0.947,597.6
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,104042,18x7-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,39,1.232,811.20
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,118042,200x50-10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,22.9,0.0388,44,1.707,"1,007.60"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,112042,21x8-9,RUNNER SOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,24,1.186,804
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,126042,23x10-12,RUNNER SOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0774,12,0.929,565.2
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,12,1.261,835.20
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,10,1.682,"1,069.00"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,101044,15x4 1/2-8,RUNNER SOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,80,1.368,824.00
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,110044,140/55-9,RUNNER SOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,80,1.488,831.6
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,103044,16x6-8,RUNNER SOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,24,0.631,398.4
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,104044,18x7-8,RUNNER SOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,80,2.528,"1,656.00"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,118044,200x50-10,RUNNER SOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,72,2.837,"1,670.40"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,111044,6.00-9,RUNNER SOLID,NM,CLIP,4,3 LAYER,27.1,0.039,4,0.156,108.4
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,112044,21x8-9,RUNNER SOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,48,2.371,"1,622.40"
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,120044,23x9-10,RUNNER SOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0523,8,0.418,358.4
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,125044,7.00 - 12,RUNNER SOLID,NM,CLIP,5,3 LAYER,48.1,0.0725,8,0.58,384.8
30.01.2024,TURKEY / Z & Q,13,TURKEY / Z & Q ORDER 16,823,136044,28x12 1/2-15,RUNNER SOLID,NM,CLIP,9.75,3 LAYER,76.3,0.1365,4,0.546,305.2
