Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,30,1.131,792
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,126011,23x10-12,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,50.7,0.0774,4,0.31,202.8
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,66.6,0.1103,5,0.552,333
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,143011,7.50-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER,67.3,0.1107,2,0.221,134.6
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1232,10,1.232,906
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,2,0.061,41.8
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,20,0.78,532
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,15,0.785,522
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,15,1.088,703.5
18.04.2024,USA- CENTRAL W H,83,USA- CENTRAL W H (R) - Container 03,896,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,10,0.186,101
