Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
06.02.2024,USA-RRL,23,RRL ORDER 22,833,111171,6.00-9,RHINO RUBBER,,BLACK,4,3 LAYER,26,0.0377,30,1.13,780
06.02.2024,USA-RRL,23,RRL ORDER 22,833,706071,15X5X11  1/4,RUNNERBAND,-,BLACK,-,2 LAYER,13.4,0.019,50,0.95,670
06.02.2024,USA-RRL,23,RRL ORDER 22,833,709071,16 1/4x6x11 1/4,RUNNERBAND,-,BLACK,-,2 LAYER,19.3,0.0312,72,2.25,"1,389.60"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,715071,18X7X12 1/8,RUNNERBAND,-,BLACK,-,2 LAYER,26.3,0.0382,120,4.58,"3,156.00"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,738071,28x12 x22,RUNNERBAND,-,BLACK,-,2 LAYER,83.5,0.1545,18,2.78,"1,503.00"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,710072,16x5x10 1/2,RUNNERBAND,-,BLACK,-,2 LAYER,15.9,0.0216,36,0.78,572.4
06.02.2024,USA-RRL,23,RRL ORDER 22,833,711072,16x6x10 1/2,RUNNERBAND,-,BLACK,-,2 LAYER,19.1,0.0259,24,0.62,458.4
06.02.2024,USA-RRL,23,RRL ORDER 22,833,720072,21x8x15,RUNNERBAND,-,BLACK,-,2 LAYER,40,0.0594,32,1.9,"1,280.00"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,722072,22x8x16,RUNNERBAND,-,BLACK,-,2 LAYER,42,0.0652,16,1.04,672
06.02.2024,USA-RRL,23,RRL ORDER 22,833,737072,22x10x16,RUNNERBAND,-,BLACK,-,2 LAYER,54.4,0.0815,0,0.00,  -   
06.02.2024,USA-RRL,23,RRL ORDER 22,833,738072,28x12x22,RUNNERBAND,-,BLACK,-,2 LAYER,81.5,0.1545,16,2.47,"1,304.00"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,700073,10X4X6 1/2,RUNNERBAND,-,NM,-,2 LAYER,6.2,0.0067,36,0.24,223.2
06.02.2024,USA-RRL,23,RRL ORDER 22,833,710073,16x5x10 1/2,RUNNERBAND,-,NM,-,2 LAYER,16.3,0.0216,84,1.81,"1,369.20"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,711073,16x6x10 1/2,RUNNERBAND,-,NM,-,2 LAYER,19.7,0.0259,100,2.59,"1,970.10"
06.02.2024,USA-RRL,23,RRL ORDER 22,833,721073,22x12x16,RUNNERBAND,-,NM,-,2 LAYER,65.4,0.0979,12,1.17,784.8
06.02.2024,USA-RRL,23,RRL ORDER 22,833,738073,28x12x22,RUNNERBAND,-,NM,-,2 LAYER,84,0.1545,8,1.24,672
06.02.2024,USA-RRL,23,RRL ORDER 22,833,714074,18X6X12 1/8,RUNNERBAND,-,NM,-,2 LAYER,22.5,0.0328,30,0.98,675
06.02.2024,USA-RRL,23,RRL ORDER 22,833,721074,22x12x16,RUNNERBAND,-,NM,-,2 LAYER,63.6,0.0979,8,0.78,508.8
06.02.2024,USA-RRL,23,RRL ORDER 22,833,725146,15x5 (GE 105454),RUNNERLIFT,ARD 3013,NMG,-,2 LAYER,21.7,0.1084,30,3.25,651
06.02.2024,USA-RRL,23,RRL ORDER 22,833,731146,12x4x8 (Front),RUNNERLIFT,ARD 3016,NMG,-,2 LAYER,7.9,0.0096,24,0.23,189.6
06.02.2024,USA-RRL,23,RRL ORDER 22,833,732146,16x5x12 (Front),RUNNERLIFT,ARD 3018,NMG,-,2 LAYER,15.6,0.0204,14,0.29,218.4
06.02.2024,USA-RRL,23,RRL ORDER 22,833,733146,12x4x8 (Rear With Brake),RUNNERLIFT,ARD 3017,NMG,-,2 LAYER,7.9,0.0096,24,0.23,189.6
06.02.2024,USA-RRL,23,RRL ORDER 22,833,734146,16x5x12 (Rear With Brake),RUNNERLIFT,ARD 3019,NMG,-,2 LAYER,15.6,0.0204,18,0.37,280.8
