Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,170051,14.00-24,ROCKSOLID,BLACK,STD,10,3 LAYER,368.5,0.5767,12,6.92,"4,422.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,60,1.55,"1,176.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,40,1.53,"1,052.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,717071,18x9x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.4,0.0491,60,2.95,"2,064.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,30,1.96,"1,287.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,20,1.96,"1,298.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,712072,16x7x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,21.6,0.0302,30,0.91,648
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,714072,18x6x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,30,0.98,675
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,715072,18x7x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,25.6,0.0382,50,1.91,"1,280.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,717072,18x9x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,33.2,0.0491,12,0.59,398.4
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,40,2.08,"1,388.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,721072,22x12x16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,63.3,0.0979,20,1.96,"1,266.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,714073,18x6x12 1/8,RUNNERBAND,NM ,SMOOTH,-,2 LAYER,23,0.0328,30,0.98,690
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,715073,18x7x12 1/8,RUNNERBAND,NM ,SMOOTH,-,2 LAYER,26.6,0.0382,60,2.29,"1,596.00"
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,708074,16 1/4x5x11 1/4,RUNNERBAND,NM ,TRACTION,-,2 LAYER,15.7,0.0223,40,0.89,628
5/10/2024,USA-RRL,91,RRL ORDER 24 (R3),904,738074,28x12x22,RUNNERBAND,NM,TRACTION,-,2 LAYER,81.4,0.1545,5,0.77,407
