Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,141002,7.00-15,ACHIEVER ,BLACK,CLIP,5.5,3 LAYER,59.7,0.0943,10,0.943,597
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,100,2.63,1740
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,,3 LAYER,26.4,0.0383,140,5.362,3696
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,19,2.04,1272
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,101162,15x4 1/2-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,100,1.61,990
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,100,3.88,2390
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,141012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,58.4,0.0943,20,1.886,1168
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,20,2.098,1304
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,40,4.096,2412
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,136012,28x12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,10,1.354,836
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.046,696
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,101042,15x4 1/2-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,100,1.71,1010
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,136051,28x12 1/2-15,ROCKSOLID,BLACK,STD,9.75,3 LAYER,76.6,0.1365,6,0.819,459.6
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,137052,8.25-15  ,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,87.6,0.1385,16,2.216,1401.6
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,139052,3.00-15 ,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,20,3.422,2170
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,730071,16 1/4 x 7 x 11 1/4,RUNNERBAND,BLACK ,SMOOTH,,3 LAYER,22.3,0.0312,48,1.4976,1070.4
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,737071,22 x 10 x 16,RUNNERBAND,BLACK ,SMOOTH,,3 LAYER,54.6,0.0815,19,1.5485,1037.4
11/7/2024,UK/RTL,132,UK/RTL- ORDER -50,948,730072,16 1/4 x 7 x 11 1/4,RUNNERBAND,BLACK ,TRACTION,,3 LAYER,20.9,0.0312,40,1.248,836
