Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,60,1.578,"1,044.00"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,60,1.818,"1,584.00"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,70,3.556,"2,464.00"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,20,0.98,688
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,30,0.771,489
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,12,1.259,775.2
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,66.6,0.1103,5,0.552,333
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,138161,8.25-15 ((WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,18,2.444,"1,630.80"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,20,1.886,"1,174.00"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER ,204.7,0.3074,18,5.533,"3,684.60"
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,30,0.789,513
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,20,1.382,892
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,19.2,0.0267,6,0.16,115.2
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,12,0.394,273.6
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,13,0.676,460.2
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,4,0.392,259.6
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,730071,16 1/4x7x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,21.7,0.0312,10,0.312,217
16.05.2024,AUS-SOLID PLUS,105,AUS/ SOLID PLUS- CONTAINER 31,919,737071,22x10x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,54.6,0.0815,3,0.245,163.8
