Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,102161,5.00-8 (Wide),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,20,0.526,348
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,103161,16X6-8 (Wide),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,104011,18X7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,100,3.83,"2,640.00"
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,112161,21X8-9 (Wide),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,20,0.98,688
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,60,3.048,"2,112.00"
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,135011,28X9-15 ,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,141011,7.00-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER ,57.6,0.0943,4,0.377,230.4
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,46.6,0.068,6,0.408,279.6
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,4,0.276,184.4
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,111162,6.00-9 (Wide),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,26.8,0.0383,4,0.153,107.2
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,103163,16X6-8 (Wide),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,12,0.308,189.6
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,104013,18X7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,111163,6.00-9 (Wide),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.03,30,0.9,771
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,119163,6.50-10 (Wide),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0383,20,0.766,680
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,6,0.614,349.8
2/14/2024,AUS-NTW-BRISBRAINE,22,AUS/NTW/BRIS- ORDER 44,1103,175044,355/50-20,RUNNERSOLID,NM - Lt.Beige,CLIP,10,3 LAYER ,111.1,0.213,4,0.852,444.4
