Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,102161,5.00-8 (Wide),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,20,0.526,348
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,103161,16X6-8 (Wide),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,104011,18X7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,100,3.83,"2,640.00"
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,112161,21X8-9 (Wide),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,10,0.49,344
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,40,2.032,"1,408.00"
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,135011,28X9-15 ,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,141011,7.00-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER ,57.6,0.0943,8,0.754,460.8
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,3,0.612,381.6
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,203.9,0.3074,6,1.844,"1,223.40"
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,111162,6.00-9 (Wide),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,26.8,0.0383,8,0.306,214.4
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,6,0.305,212.4
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,46.6,0.068,6,0.408,279.6
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,16,1.106,737.6
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,104013,18X7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,30,0.909,609
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,111163,6.00-9 (Wide),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.03,20,0.6,514
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,119163,6.50-10 (Wide),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0383,10,0.383,340
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,120163,23x9-10 (Wide),ACHIEVER PLUS,NM,STD,6.5,3 LAYER ,45.2,0.068,6,0.408,271.2
2/14/2024,AUS-NTW-MELBOURNE,24,AUS/NTW/MELB- ORDER 45,1105,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER ,56.2,0.0946,10,0.946,562
