Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,30,0.771,489
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,50,1.515,1040
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,40,4.096,2372
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,100,3.83,2640
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,40,2.032,1408
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,8,0.8392,516.8
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,12,1.6296,1087.2
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,20,1.886,1174
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,6,1.224,763.2
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,203.9,0.3074,18,5.5332,3670.2
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER ,204.7,0.3074,3,0.9222,614.1
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,10,1.024,603
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,50,1.285,790
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,30,0.909,609
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,50,1.915,1285
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER ,59.3,0.1064,3,0.3192,177.9
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,138051,8.25-15 ,ROCKSOLID,BLACK,STD,6.5,3 LAYER ,87.9,0.1385,4,0.554,351.6
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,6,0.1968,136.8
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,6,0.2292,157.8
26/04/2024,AUS/TFY,80,AUS/TFY- CONTAINER 30,893,710073,16x5x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,16.3,0.0216,6,0.1296,97.8
