Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,30,0.789,522
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,60,1.818,"1,584.00"
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,40,2.032,"1,408.00"
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,100,6.91,"4,570.00"
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,10,1.049,646
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,12,1.63,"1,087.20"
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,10,1.701,"1,087.00"
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,10,0.263,171
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,10,0.257,158
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,10,0.303,203
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,10,0.508,340
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,112163,21x 8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,10,0.49,334
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,133013,2.50 - 15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,10,1.049,628
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,20.8,0.0312,4,0.125,83.2
8/23/2024,AUS-TFY,155,AUS/TFY- CONTAINER 35(PERTH) (R2),972,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,2,0.076,52.6
