Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,20,0.606,416
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,102241,5.00-8 (Wide wall),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,20,0.526,352
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5.00,2 LAYER,35.8,0.0508,20,1.016,716
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,154001,10.00-20,ACHIEVER,BLACK,STD,8,2 LAYER,158.3,0.246,4,0.984,633.2
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,100002,4.00-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,11.1,0.0166,4,0.0664,44.4
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,8,0.1432,80
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,102242,5.00-8 (Wide wall),ACHIEVER,BLACK,CLIP,3,2 LAYER,17.9,0.0263,20,0.526,358
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.606,418
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,111002,6.00-9 ,ACHIEVER,BLACK,CLIP,4,2 LAYER,27,0.0377,20,0.754,540
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,112002,21X8- 9,ACHIEVER,BLACK,CLIP,6.00,2 LAYER,34.2,0.0478,8,0.3824,273.6
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,119242,6.50 - 10(Wide wall),ACHIEVER,BLACK,CLIP,5.00,2 LAYER,36.3,0.0508,40,2.032,1452
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,125002,7.00 - 12,ACHIEVER,BLACK,CLIP,5.00,2 LAYER,47.3,0.0691,28,1.9348,1324.4
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,135002,28X9-15 (8.15-15),ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,20,2.048,1206
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,110041,140/55-9,RUNNERSOLID,BLACK,STD,4,3 LAYER ,9.8,0.0186,12,0.2232,117.6
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,104041,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER ,20.3,0.0316,20,0.632,406
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER ,17.1,0.0259,20,0.518,342
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER ,34.8,0.0523,40,2.092,1392
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5.00,3 LAYER ,46.9,0.0725,20,1.45,938
27-05-2024,AZE-LOK,109,AZE-LOK-ORDER 05,923,135041,28X9-15 (8.15-15),RUNNERSOLID,BLACK,STD,7,3 LAYER ,57.5,0.1041,20,2.082,1150
