Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,20,0.61,416.00
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,102241,5.00-8 (Wide wall),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,20,0.53,352
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,20,1.02,716
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,154001,10.00-20,ACHIEVER,BLACK,STD,8,2 LAYER,158.3,0.246,4,0.98,633.2
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,100002,4.00-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,11.1,0.0166,4,0.07,44.4
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,8,0.14,80
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,102242,5.00-8 (Wide wall),ACHIEVER,BLACK,CLIP,3,2 LAYER,17.9,0.0263,20,0.53,358.00
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.61,418
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,111002,6.00-9 ,ACHIEVER,BLACK,CLIP,4,2 LAYER,27,0.0377,20,0.75,540
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,112002,21X8- 9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,8,0.38,273.6
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,119242,6.50 - 10(Wide wall),ACHIEVER,BLACK,CLIP,5,2 LAYER,36.3,0.0508,40,2.03,"1,452.00"
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,125002,7.00 - 12,ACHIEVER,BLACK,CLIP,5,2 LAYER,47.3,0.0691,28,1.93,"1,324.40"
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,135002,28X9-15 (8.15-15),ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,20,2.05,"1,206.00"
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,110041,140/55-9,RUNNERSOLID,BLACK,STD,4,3 LAYER ,9.8,0.0186,12,0.22,117.6
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,104041,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER ,20.3,0.0316,20,0.63,406
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER ,17.1,0.0259,20,0.52,342
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER ,34.8,0.0523,40,2.09,"1,392.00"
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER ,46.9,0.0725,20,1.45,938
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,135041,28X9-15 (8.15-15),RUNNERSOLID,BLACK,STD,7,3 LAYER ,57.5,0.1041,20,2.08,"1,150.00"
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,11,0.0172,4,0.07,44
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.1,0.0186,12,0.22,121.2
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,17.4,0.0259,20,0.52,348
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,104042,18X7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,20.6,0.0316,20,0.63,412
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER ,33.3,0.0494,8,0.4,266.4
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,111042,6.00-9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,26.9,0.039,20,0.78,538
5/31/2024,AZE-LOK,109,AZE-LOK-ORDER 05 (R),923,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER ,35.2,0.0523,40,2.09,"1,408.00"
