Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,102241,5.00 - 8( WIDE),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,30,0.79,528
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,111241,6.00 - 9 ( WIDE),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0383,40,1.53,"1,084.00"
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,152221,10.00-20 (CW),ACHIEVER,BLACK,STD,7,2 LAYER,205.4,0.246,8,1.97,"1,643.20"
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,156221,12.00-20 (CW),ACHIEVER,BLACK,STD,8.5,2 LAYER,262.4,0.3074,12,3.69,"3,148.80"
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,100011,4.00-8,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,10.9,0.0166,80,1.33,872
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,102161,5.00 - 8( WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,60,1.58,"1,044.00"
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,111161,6.00 - 9 ( WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,20,0.77,528
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,119161,6.50 - 10( WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,20,1.02,704
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,139161,3.00-15( WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,6,1.02,652.2
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,103162,16X6-8 ( WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,16,0.41,265.6
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,104012,18 x 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,4,0.12,83.6
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,6,0.11,60
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,120162,23X9-10 ( WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,4,0.27,186.4
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,135012,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,STD,7,3 LAYER,60.3,0.1024,12,1.23,723.6
31.07.2024,Belarus - JSC,146,BEL-JSC-25,963,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,4,0.42,260.8
