Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,120,3.79,"2,460.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,120,4.68,"3,216.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,112041,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,70,3.46,"2,324.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,140,7.32,"4,886.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,140,10.15,"6,566.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,101042,15x4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,60,1.03,618
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,120,2.23,"1,236.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,120,3.79,"2,496.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,80,3.15,"1,848.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,60,3.14,"2,118.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,60,4.35,"2,868.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,135051,28x9-15,ROCK SOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,120,12.77,"7,164.00"
18.01.2024,ARY - KSA,,SAUDI ARABIA-ARY(GTT)-Order 16 & 17,5000,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,60,6.38,"3,636.00"
