Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
2/15/2024,UK-RECY,888,UK/RTL- ORDER -58,5000,101002,15x4.5-8,ACHIEVER ,BLACK,CLIP,3,2 LAYER,9.2,0.0161,100,1.61,920
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,120241,23x9-10 (Wide),ACHIEVER ,BLACK,CLIP,6.5,2 LAYER,46.7,1.068,20,21.36,934
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,101161,15x4.5-8 (Wide),ACHIEVER PLUS,BLACK,STD,3,3  LAYER,9.7,0.0161,50,0.805,485
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,102161,5.00-8 (Wide),ACHIEVER PLUS,BLACK,STD,3,3  LAYER,17.4,0.0263,100,2.63,1740
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3  LAYER,26.4,0.0383,90,3.447,2376
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3  LAYER,35.2,0.0508,90,4.572,3168
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3  LAYER,45.7,0.0691,90,6.219,4113
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3  LAYER,59.3,0.1024,20,2.048,1186
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3  LAYER,203.9,0.3074,8,2.4592,1631.2
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,103162,16x6-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,4.33,3  LAYER,16.6,0.0257,50,1.285,830
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3  LAYER,20.9,0.0303,100,3.03,2090
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,110012,140/55x9,ACHIEVER PLUS,BLACK,CLIP,4,3  LAYER,10,0.0179,100,1.79,1000
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,112162,21x8-9 (Wide),ACHIEVER PLUS,BLACK,CLIP,6,3  LAYER,34.8,0.049,40,1.96,1392
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,23.9,0.0388,100,3.88,2390
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3  LAYER,35.4,0.0508,90,4.572,3186
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,46.6,0.068,40,2.72,1864
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3  LAYER,46.1,0.0691,80,5.528,3688
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3  LAYER,65.2,0.1049,20,2.098,1304
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3  LAYER,67.5,0.1103,20,2.206,1350
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3  LAYER,60.3,0.1024,74,7.5776,4462.2
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,119041, 6.50-10 ,RUNNERSOLID, BLACK , STD ,5,2 LAYER,34.8,0.0523,40,2.092,1392
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,120041, 23x9-10 ,RUNNERSOLID, BLACK , STD ,6.5,2 LAYER,44.2,0.0657,40,2.628,1768
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,2 LAYER,20.6,0.0316,30,0.948,618
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,2 LAYER,35.2,0.0523,20,1.046,704
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,2 LAYER,69.2,0.1051,20,2.102,1384
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,103044,16x6-8,RUNNERSOLID,NM,CLIP,4.33,2 LAYER,16.5,0.0263,10,0.263,165
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,2 LAYER,20.6,0.0316,20,0.632,412
45337,UK-RECY,888,UK/RTL- ORDER -58,5000,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,2 LAYER,10.2,0.0186,100,1.86,1020
