Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,102161,5.00 - 8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,24,0.63,417.6
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,111161,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,40,1.53,"1,056.00"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,10,0.51,354
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,126012,23X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,16,1.24,811.20
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,138162,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,16,2.17,"1,464.00"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,6,1.02,655.2
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,102163,5.00 - 8 (WIDE),ACHIEVER PLUS,N/M,STD,3,3 LAYER,17.1,0.0263,14,0.37,239.4
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,111163,6.00 - 9 (WIDE),ACHIEVER PLUS,N/M,STD,4,3 LAYER,25.7,0.0383,20,0.77,514
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,119163,6.50 - 10 (WIDE),ACHIEVER PLUS,N/M,STD,5,3 LAYER,34,0.0508,6,0.3,204
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,101164,15X4 1/2-8 (WIDE),ACHIEVER PLUS,N/M,CLIP,3,3 LAYER,9.7,0.0161,20,0.32,194
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,104014,18X7-8,ACHIEVER PLUS,N/M,CLIP,4.33,3 LAYER,20.4,0.0303,30,0.91,612.00
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,110014,140/55-9,ACHIEVER PLUS,N/M,CLIP,4,3 LAYER,9.85,0.0179,16,0.29,157.60
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,120164,23X9-10 (WIDE),ACHIEVER PLUS,N/M,CLIP,6.5,3 LAYER,45.3,0.068,12,0.82,543.6
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,104041,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,20,0.63,406.00
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,101043,15X4 1/2-8,RUNNERSOLID,NM,STD,3,3 LAYER,10.2,0.0171,20,0.34,203.94
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,104043,18X7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,30,0.95,612.00
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,102043,5.00 - 8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,10,0.26,172
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,112043,21X8- 9,RUNNERSOLID,NM,STD,6,3 LAYER,33.3,0.0494,6,0.3,199.8
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,111043,6.00 - 9,RUNNERSOLID,NM,STD,4,3 LAYER,26.7,0.039,30,1.17,801.00
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,103044,16X6-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.5,0.0263,40,1.05,660
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,104044,18X7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,30,0.95,618
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,10,0.19,102.00
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.39,231
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,120044,23X9-10 ,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,45,0.0657,20,1.31,900
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,16,2.74,"1,718.40"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.2,0.0946,8,0.76,449.6
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,30,3.19,"1,806.00"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,12,1.66,"1,066.80"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,20,3.42,"2,170.00"
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,139053,3.00-15,ROCKSOLID,NM,STD,8,3 LAYER,108.4,0.1711,4,0.68,433.6
8/23/2024,POL-4XT,164,POL-4XT (Order 07)-WDT ORDER 09 ,982,134054,2.50 - 15,ROCKSOLID,NM,CLIP,7.5,3 LAYER,68.1,0.1149,4,0.46,272.4
