Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,101161,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0161,12,0.19,116.4
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,30,1.52,"1,056.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,14,0.97,639.8
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,20,1.02,708
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,135012,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,30,3.07,"1,809.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,136012,28x12-1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,1,0.14,83.6
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,140012,355/65/15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.2,0.1852,6,1.11,745.2
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,125013,7.00 - 12,ACHIEVER PLUS,N/M,STD,5,3 LAYER,44.6,0.0691,10,0.69,446
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,119164,6.50 - 10 (WIDE),ACHIEVER PLUS,N/M,CLIP,5,3 LAYER,34.5,0.0508,10,0.51,345
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,135014,"28X9-15, 8.15-15",ACHIEVER PLUS,N/M,CLIP,7,3 LAYER,59.2,0.1024,4,0.41,236.8
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,136014,28x12-1/2-15,ACHIEVER PLUS,N/M,CLIP,9.75,3 LAYER,81.3,0.1354,6,0.81,487.8
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,12,0.21,128.4
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,112041,21X8- 9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33,0.0494,6,0.3,198
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,70,2.73,"1,862.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,40,2.09,"1,392.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.8,0.0172,1,0.02,10.8
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0316,8,0.25,131.2
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,104042,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,10,0.19,101
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.79,456
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,120042,23X9-10 ,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,40,2.63,"1,788.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,100043,4.00-8,RUNNERSOLID,NM,STD,3,3 LAYER,10.7,0.0172,12,0.21,128.4
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,100044,4.00-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,11.1,0.0172,2,0.03,22.2
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,156051,12.00-20,ROCKSOLID,BLACK,STD,8.5,3 LAYER,210.9,0.3327,6,2,"1,265.40"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,30,3.19,"1,806.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,136052,28x12-1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,10,1.37,766
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,134052,2.50 - 15,ROCKSOLID,BLACK,CLIP,7.5,3 LAYER,67.8,0.1149,8,0.92,542.4
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,140052,355/65/15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,8,1.62,"1,024.00"
8/23/2024,POL-4XT,163,POL-4XT (Order 06 )-WDT ORDER 08,981,135054,28x9-15,ROCKSOLID,NM,CLIP,7,3 LAYER,60.7,0.1064,4,0.43,242.8
