Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,102241,5.00-8 (WIDE),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,40,1.05,704
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,111241,6.00-9 (WIDE),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0383,90,3.45,"2,439.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,119241,6.50-10  (WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,120,6.1,"4,296.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,80,5.53,"3,744.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,135001,28x9-15,ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,69,7.07,"4,112.40"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,139241,3.00-15 (WIDE),ACHIEVER,BLACK,STD,8,2 LAYER,109.8,0.1701,20,3.4,"2,196.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,133001,2.50 - 15,ACHIEVER,BLACK,STD,7,3 LAYER ,65.6,0.1049,19,1.99,"1,246.40"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,138241,8.25-15 (WIDE),ACHIEVER,BLACK,STD,6.5,3 LAYER ,92.9,0.1358,24,3.26,"2,229.60"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,104012,18 x 7 - 8  (180/70-8),ACHIEVER,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,60,1.82,"1,254.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,118012,200/50-10,ACHIEVER,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,40,1.55,956
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,2 LAYER,26.4,0.0383,10,0.38,264
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,119161,6.50-10  (WIDE),ACHIEVER PLUS,BLACK,STD,5,2 LAYER,35.2,0.0508,20,1.02,704
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,2 LAYER,45.7,0.0691,20,1.38,914
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,2 LAYER,59.3,0.1024,10,1.02,593
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,0,  -   ,  -   
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,0,  -   ,  -   
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,10,1.7,"1,087.00"
18.07.2024,EGT-TIS,133,EGT-TIS - ORDER 01 (R2),949,166321,31x10-20(With Aperture),SKIDSOLID,BLACK,STD,7.5,2 LAYER,62.6,0.1446,20,2.89,"1,252.00"
