Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,133001,2.50-15,ACHIEVER,BLACK,STD,7,2 LAYER,65,0.1049,4,0.4196,260
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,138241,8.25-15 (WIDE),ACHIEVER,BLACK,STD,6.5,2 LAYER,92.9,0.1358,12,1.6296,1114.8
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,17,0.3043,170
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,103002,16X6-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,25,0.61,400
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,80,2.424,1672
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,103004,16X6-8,ACHIEVER,Non Marking,CLIP,4.33,2 LAYER,16.1,0.0244,30,0.732,483
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,110004,140/55-9,ACHIEVER,Non Marking,CLIP,4,2 LAYER,10,0.0179,4,0.0716,40
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,104004,18x7-8,ACHIEVER,Non Marking,CLIP,4.33,2 LAYER,21,0.0303,16,0.4848,336
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,,3 LAYER,26.4,0.0383,132,5.0556,3484.8
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,26,1.3208,915.2
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,58,4.0078,2650.6
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,6,0.6144,355.8
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,20,2.716,1812
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,18,5.5332,3684.6
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.606,418
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,119163,6.50-10 (WIDE),ACHIEVER PLUS,Non Marking,STD,5,3 LAYER,34,0.0508,12,0.6096,408
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,135013,28x9-15,ACHIEVER PLUS,Non Marking,STD,7,3 LAYER,58.3,0.1024,10,1.024,583
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,110014,140/55-9,ACHIEVER PLUS,Non Marking,CLIP,4,3 LAYER,9.85,0.0179,24,0.4296,236.4
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,103164,16X6-8 (WIDE),ACHIEVER PLUS,Non Marking,CLIP,4.33,3 LAYER,16.1,0.0257,10,0.257,161
4/5/2024,EGYPT,,IEC - Bulk ORDER 03 (Cont. -10),855,104014,18x7-8,ACHIEVER PLUS,Non Marking,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.606,408
