Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,102241,5.00-8 (WIDE),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0263,8,0.2104,140.8
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,111241,6.00-9 (WIDE),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0303,30,0.909,813.00
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,60,4.146,"2,808.00"
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,135001,28x9-15,ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,30,3.072,"1,788.00"
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,138241,8.25-15 (WIDE),ACHIEVER,BLACK,STD,6.5,2 LAYER,92.9,0.1358,15,2.037,"1,393.50"
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,133001,2.50-15,ACHIEVER ,BLACK,STD,7,2 LAYER,65.6,0.1049,14,1.4686,918.40
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,139241,3.00-15 (Wide),ACHIEVER ,BLACK,STD,8,2 LAYER,109.8,0.1701,15,2.5515,1647
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,151001,9.00-20,ACHIEVER ,BLACK,STD,7,2 LAYER,128.1,0.204,12,2.448,1537.2
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,65,1.9695,1358.5
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,20,0.776,478
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,103161,16X6-8(WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,36,0.9252,586.8
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,8,0.2104,139.2
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,2 LAYER,90.6,0.1358,10,1.358,906
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,20,2.098,1292
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,12,2.0412,1304.4
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,45,1.3635,940.5
5/29/2024,EGYPT,BULK WO,ICE - ORDER 04 (R2),1003,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,20,0.776,478
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
