Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104001,18x 7-8 ,ACHIEVER ,BLACK,STD,4.33,2 LAYER,20.8,0.0303,6,0.1818,124.80
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,111001,6.00-9,ACHIEVER ,BLACK,STD,4,2 LAYER,26.6,0.0377,6,0.2262,159.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,119001,6.50-10,ACHIEVER ,BLACK,STD,5,2 LAYER,34,0.0488,20,0.976,680
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,135001,8.15-15,ACHIEVER ,BLACK,STD,7,2 LAYER,59.6,0.1024,10,1.024,596
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104002,18x 7-8 ,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.606,418
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,112002,21x 8-9,ACHIEVER ,BLACK,CLIP,6,2 LAYER,34.2,0.0478,4,0.1912,136.8
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,133002,250-15,ACHIEVER ,BLACK,CLIP,7,2 LAYER,66.3,0.1049,2,0.2098,132.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,127002,27x 10-12,ACHIEVER ,BLACK,CLIP,8,2 LAYER,74.7,0.1066,4,0.4264,298.8
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104011,18x 7-8 ,ACHIEVER PLUS,BLACK,STD ,4.33,3 LAYER,20.8,0.0303,10,0.303,208
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,111011,6.00-9,ACHIEVER PLUS,BLACK,STD ,4,3 LAYER,26,0.0377,8,0.3016,208
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,135011,8.15-15,ACHIEVER PLUS,BLACK,STD ,7,3 LAYER,59.3,0.1024,6,0.6144,355.8
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,50,0.895,500
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,103012,16x 6-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,10,0.244,160
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104012,18x 7-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,32,0.9696,668.8
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,14,0.5432,334.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,112012,21x 8-9,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,33.6,0.0478,12,0.5736,403.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,120012,23x 9-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,10,0.627,445
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,126012,23x 10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,6,0.4644,304.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,2,0.2048,120.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,127012,27x 10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,4,0.4264,293.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,118014,200/50-10,ACHIEVER PLUS,NON - MARKING,CLIP,6.5,3 LAYER,23.6,0.0388,4,0.1552,94.4
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,103041,16x 6-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.4,0.0263,6,0.1578,98.4
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.518,342
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104041,18x 7-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,4,0.1264,82
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,10,0.39,268
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,14,0.7322,488.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,120041,23x 9-10,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,44.3,0.0657,4,0.2628,177.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,10,0.725,469
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,135041,8.15-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,57.8,0.1041,16,1.6656,924.8
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,101042,15x 4 1/2-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,10,0.171,103
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,112,2.0832,"1,153.60"
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.259,174
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,104042,18x 7-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0263,32,0.8416,665.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.394,231
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,112042,21x 8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,12,0.5928,402
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,4,0.2092,141.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,120042,23x 9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,6,0.3942,268.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,126042,23x 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,10,0.764,471
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,16,1.8032,"1,054.40"
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,10,1.682,"1,069.00"
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,119043,6.50-10,RUNNERSOLID,NON - MARKING,STD,5,3 LAYER,35.3,0.0523,4,0.2092,141.2
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,125043,7.00-12,RUNNERSOLID,NON - MARKING,STD,5,3 LAYER,47.9,0.0725,4,0.29,191.6
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,101044,15x 4 1/2-8 ,RUNNERSOLID,NON - MARKING,CLIP,3,3 LAYER,10.3,0.0171,8,0.1368,82.4
29.01.2024,HUNGARY,11,HUN-NTK / ORDER 10 (R2),821,110044,140/55-9,RUNNERSOLID,NON - MARKING,CLIP,4,3 LAYER,10.4,0.0186,10,0.186,103.95
