Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,101161,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0161,8,0.13,77.60
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,15,2.04,"1,359.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,103162,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,100,2.57,"1,660.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,112162,21X8-9  (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,34.8,0.049,11,0.54,382.8
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,60,3.05,"2,124.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,80,3.1,"1,912.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,30,3.31,"2,025.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,90,12.22,"8,235.00"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,127012,27X10-12  ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,6,0.64,440.4
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,139012,300-15 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,102.8,0.1563,8,1.25,822.4
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,21,3.57,"2,293.20"
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,24,0.43,236.4
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,120164,23X9-10  (WIDE),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,45.3,0.068,8,0.54,362.4
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,711072,16X6X10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,4,0.1,76.4
14.12.2023,ISRL-KST,279,ISRL-KST- ORDER 35 (R2),799,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,1,0.02,9.85
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
