Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,101041,15 x 4 1/2 - 8 (125/75 - 8),RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,6,0.1026,60
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,6,0.234,159.6
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,12,0.87,562.8
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,103042,16 X 6 - 8 (150/75-8),RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,50,1.315,820
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,40,1.264,824
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,112042,21 X 8 - 9 (200/75-9),RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,20,0.988,666
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,12,0.6276,422.4
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,120042,23 X 9 - 10 (225/75-10),RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,43,2.8251,1922.1
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,126042,23 X 10 - 12 (250/60-12),RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.528,942
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,48,3.48,2280
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,127042,27X10-12 (250/75 - 12),RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,20,2.102,1384
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,125043,7.00-12,RUNNERSOLID,NM Lt.CREAM,STD,5,3 LAYER,46.8,0.0725,4,0.29,187.2
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,120044,23 X 9 - 10 (225/75-10),RUNNERSOLID,NM Lt.CREAM,CLIP,6.5,3 LAYER,44.8,0.0657,4,0.2628,179.2
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,125044,7.00-12,RUNNERSOLID,NM Lt.CREAM,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,135052,8.15 - 15,ROCKSOLID,BLACK,CLIP,7,2 LAYER,60.2,0.1024,2,0.2048,120.4
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,133052,2.50-15 (250/70 - 15),ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.4,0.1149,12,1.3788,808.8
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,139052,3.00 - 15 (315/70-15),ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,30,5.133,3255
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,136052,28 X 12 1/2 - 15 (355/45-15),ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1354,22,2.9788,1685.2
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,140052,355/65-15 ,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,10,2.021,1280
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,133054,2.50-15 (250/70 - 15),ROCKSOLID,NM Lt.CREAM,CLIP,7,3 LAYER,68,0.1149,4,0.4596,272
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,136054,28 X 12 1/2 - 15 (355/45-15),ROCKSOLID,NM Lt.CREAM,CLIP,9.75,3 LAYER,77.7,0.1354,8,1.0832,621.6
6/6/2024,ITALY / GGS ,117,ITALY / GGS ORDER 03 (R),931,140054,355/65-15 ,ROCKSOLID,NM Lt.CREAM,CLIP,9.75,3 LAYER,128.4,0.2021,4,0.8084,513.6
