Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19.04.2024,NLD-MTG,71,MTG-ORDER 05 (R2),884,102541,5.00-8 WIDE,MAGNA MA610 PRO3,BLACK,STD,3,3 LAYER,17.4,0.0263,18,0.47,313.2
19.04.2025,NLD-MTG,71,MTG-ORDER 05 (R2),884,111541,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,STD,4,3 LAYER,26.4,0.0383,48,1.84,"1,267.20"
19.04.2026,NLD-MTG,71,MTG-ORDER 05 (R2),884,119541,6.50-10 WIDE,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,35.2,0.0508,18,0.91,633.6
19.04.2027,NLD-MTG,71,MTG-ORDER 05 (R2),884,125531,7.00-12,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,45.7,0.0691,6,0.41,274.2
19.04.2028,NLD-MTG,71,MTG-ORDER 05 (R2),884,150531,9.00-20 ,MAGNA MA610 PRO3,BLACK,STD,6.5,3 LAYER,127.2,0.204,8,1.63,"1,017.60"
19.04.2029,NLD-MTG,71,MTG-ORDER 05 (R2),884,153541,10.00-20 WIDE,MAGNA MA610 PRO3,BLACK,STD,7.5,3 LAYER,167.3,0.2622,8,2.1,"1,338.40"
19.04.2030,NLD-MTG,71,MTG-ORDER 05 (R2),884,155531,12.00-20,MAGNA MA610 PRO3,BLACK,STD,8,3 LAYER,203.9,0.3074,8,2.46,"1,631.20"
19.04.2031,NLD-MTG,71,MTG-ORDER 05 (R2),884,156531,12.00-20,MAGNA MA610 PRO3,BLACK,STD,8.5,3 LAYER,204.7,0.3074,8,2.46,"1,637.60"
19.04.2033,NLD-MTG,71,MTG-ORDER 05 (R2),884,101542,15x4.1/2-8(125/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,9.9,0.0161,18,0.29,178.2
19.04.2034,NLD-MTG,71,MTG-ORDER 05 (R2),884,110532,15x5.1/2-9(140/55-9),MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,10,0.0179,18,0.32,180
19.04.2035,NLD-MTG,71,MTG-ORDER 05 (R2),884,102542,5.00-8 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,17.6,0.0263,10,0.26,176
19.04.2036,NLD-MTG,71,MTG-ORDER 05 (R2),884,103542,16x6-8(150/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,16,0.41,265.6
19.04.2037,NLD-MTG,71,MTG-ORDER 05 (R2),884,104532,18x7-8(180/70-8),MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.61,418
19.04.2038,NLD-MTG,71,MTG-ORDER 05 (R2),884,111542,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,26.8,0.0383,24,0.92,643.2
19.04.2039,NLD-MTG,71,MTG-ORDER 05 (R2),884,112542,21x8-9(200/75-9) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,34.8,0.049,8,0.39,278.4
19.04.2040,NLD-MTG,71,MTG-ORDER 05 (R2),884,119542,6.50-10 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,35.4,0.0508,12,0.61,424.8
19.04.2041,NLD-MTG,71,MTG-ORDER 05 (R2),884,118532,200/50-10,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,18,0.7,430.2
19.04.2042,NLD-MTG,71,MTG-ORDER 05 (R2),884,120542,23x9-10(225/75-10) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,30,2.04,"1,398.00"
19.04.2043,NLD-MTG,71,MTG-ORDER 05 (R2),884,125532,7.00-12 ,MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,46.1,0.0691,8,0.55,368.8
19.04.2044,NLD-MTG,71,MTG-ORDER 05 (R2),884,126532,23x10-12(250/60-12),MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,50.7,0.0774,12,0.93,608.4
19.04.2045,NLD-MTG,71,MTG-ORDER 05 (R2),884,127532,27x10-12(250/75-12),MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,73.4,0.1066,8,0.85,587.2
19.04.2046,NLD-MTG,71,MTG-ORDER 05 (R2),884,136532,28x12.1/2-15(355/45-15),MAGNA MA610 PRO3,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,8,1.08,668.8
19.04.2047,NLD-MTG,71,MTG-ORDER 05 (R2),884,135532,28x9-15(225/75-15),MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,60.3,0.1024,12,1.63,723.6
19.04.2048,NLD-MTG,71,MTG-ORDER 05 (R2),884,133532,2.50-15(250/70-15),MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,65.2,0.1049,12,1.26,782.4
