Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,8,1.632,1017.6
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,20,0.372,202
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.788,456
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,10,0.186,102
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.394,231
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,154051,10.00-20 ,ROCKSOLID,BLACK,STD,8,3 LAYER,168.6,0.279,12,3.348,2023.2
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,156051,12.00-20,ROCKSOLID,BLACK,STD,8.5,3 LAYER,211,0.3327,10,3.327,2110
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,740071,28x10x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,69.5,0.1288,4,0.5152,278
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,742071,22x14x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,77.4,0.1142,4,0.4568,309.6
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,738072,28x12x22,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,81.5,0.1545,4,0.618,326
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,721073,22x12x16,RUNNERBAND,N/M,SMOOTH,-,2 LAYER,65.4,0.0979,4,0.3916,261.6
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,163351,33x12x20 (W/A) CW,SKIDSOLID,BLACK,STD,7.5,2 LAYER,134.8,0.1982,40,7.928,5392
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,163321,33x12x20 (W/A),SKIDSOLID,BLACK,STD,7.5,2 LAYER,88.8,0.1982,12,2.3784,1065.6
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,166327,31x10x20 (W/A),SKIDSOLID,BLACK,CLIP - LEFT,7.5,2 LAYER,62.8,0.1446,6,0.8676,376.8
17-05-2024,MEX - JIS,106,MEX - JIS - ORDER 01,920,166328,31x10x20 (W/A),SKIDSOLID,BLACK,CLIP - RIGHT,7.5,2 LAYER,62.8,0.1446,6,0.8676,376.8
