Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,102541,5.00-8 WIDE,MAGNA MA610 PRO3,BLACK,STD,3,3 LAYER,17.4,0.0263,18,0.4734,313.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,111541,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,STD,4,3 LAYER,26.4,0.0383,48,1.8384,1267.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,119541,6.50-10 WIDE,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,35.2,0.0508,18,0.9144,633.6
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,125531,7.00-12,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,45.7,0.0691,6,0.4146,274.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,150531,9.00-20 ,MAGNA MA610 PRO3,BLACK,STD,6.5,3 LAYER,127.2,0.204,10,2.04,1272
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,153541,10.00-20 WIDE,MAGNA MA610 PRO3,BLACK,STD,7.5,3 LAYER,167.3,0.2622,10,2.622,1673
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,155531,12.00-20,MAGNA MA610 PRO3,BLACK,STD,8,3 LAYER,33.7,0.3074,14,4.3036,471.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,156531,12.00-20,MAGNA MA610 PRO3,BLACK,STD,8.5,3 LAYER,204.7,0.3074,14,4.3036,2865.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,101542,15x4.1/2-8(125/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,9.9,0.0161,18,0.2898,178.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,110532,15x5.1/2-9(140/55-9),MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,10,0.0179,18,0.3222,180
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,102542,5.00-8 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,17.6,0.0263,10,0.263,176
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,103542,16x6-8(150/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,16,0.4112,265.6
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,104532,18x7-8(180/70-8),MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.606,418
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,111542,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,26.8,0.0383,24,0.9192,643.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,112542,21x8-9(200/75-9) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,34.8,0.049,8,0.392,278.4
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,119542,6.50-10 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,35.4,0.0508,12,0.6096,424.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,118532,200/50-10,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,18,0.6984,430.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,120542,23x9-10(225/75-10) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,30,2.04,1398
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,125532,7.00-12 ,MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,46.1,0.0691,8,0.5528,368.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,126532,23x10-12(250/60-12),MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,50.7,0.0774,12,0.9288,608.4
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,127532,27x10-12(250/75-12),MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,73.4,0.1066,8,0.8528,587.2
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,136532,28x12.1/2-15(355/45-15),MAGNA MA610 PRO3,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,8,1.0832,668.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,135532,28x9-15(225/75-15),MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,60.3,0.1024,12,1.6296,723.6
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,133532,2.50-15(250/70-15),MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,65.2,0.1049,12,1.2588,782.4
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,140532,355/65-15,MAGNA MA610 PRO3,BLACK,CLIP,9.75,3 LAYER,124.2,0.1852,4,0.7408,496.8
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,138542,8.25-15 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,8,1.0864,732
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,139542,300-15(315/70-15) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,109.2,0.1701,8,1.3608,873.6
3/4/2024,NLD-MTG,71,MTG-ORDER 05,884,101544,15x4.1/2-8(125/75-8) WIDE,MAGNA MA610 PRO3,N/M,CLIP,3,3 LAYER,9.7,0.0161,14,0.2254,135.8
