date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,60,1.01,649.2,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,180,12.78,"8,208.00",,, 
,KOREA,R2,KOR-NTC-12-R2-11,636 11,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,8,0.74,450.8,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,46,5.35,"3,299.12",,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,6,0.79,510.3,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.07,0.03,90,2.7,"1,806.30",,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.45,0.071,20,1.42,929,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,126302,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,50.31,0.0798,3,0.24,150.93,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,2,0.19,114,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,171302,7.50-16,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,72.5,0.1162,2,0.23,145,,,
,KOREA,R2,KOR-NTC-12-R2-11,636 11,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,12,1.58,"1,026.00",,,
