date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
11.07.2023,KOREA,0,KOR-NTC-12,636 4,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.2,0.0158,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,150,4.5,"2,974.50"
11.07.2023,KOREA,0,KOR-NTC-12,636 4,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,120,6.35,"4,260.00"
11.07.2023,KOREA,0,KOR-NTC-12,636 4,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,15,1.2,748.5
11.07.2023,KOREA,0,KOR-NTC-12,636 4,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,60,6.07,"3,510.00"
11.07.2023,KOREA,0,KOR-NTC-12,636 4,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,30,2.77,"1,690.50"
11.07.2023,KOREA,0,KOR-NTC-12,636 4,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,3,0.35,215.16
11.07.2023,KOREA,0,KOR-NTC-12,636 4,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,,               -  ,                 -  
11.07.2023,KOREA,0,KOR-NTC-12,636 4,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,20,3.32,"2,155.00"
11.07.2025,KOREA,0,KOR-NTC-12,636 4,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,,               -  ,                 -  
11.07.2026,KOREA,0,KOR-NTC-12,636 4,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.07,0.03,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,112302,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.4,0.049,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,125302,7.00-12,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,46.45,0.071,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,126302,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,50.31,0.0798,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,30,3.03,"1,779.00"
,KOREA,0,KOR-NTC-12,636 4,171302,7.50-16,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,72.5,0.1162,,               -  ,                 -  
,KOREA,0,KOR-NTC-12,636 4,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,,               -  ,                 -  
