date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
,KOREA,R2,KOR-NTC-12-R2-9,636 9,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,70,1.18,757.4
,KOREA,R2,KOR-NTC-12-R2-9,636 9,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.2,0.0158,100,1.58,920
,KOREA,R2,KOR-NTC-12-R2-9,636 9,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,40,2.73,"1,856.00"
,KOREA,R2,KOR-NTC-12-R2-9,636 9,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,30,2.39,"1,497.00"
,KOREA,R2,KOR-NTC-12-R2-9,636 9,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,31,4.08,"2,636.55"
,KOREA,R2,KOR-NTC-12-R2-9,636 9,104302,18x7-8,NEXEN ALLPRO,BLACK,CLIP,4.33,APPROVED NEXEN COMPOUND,20.07,0.03,200,6,"4,014.00"
,KOREA,R2,KOR-NTC-12-R2-9,636 9,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,35,1.41,841.05
,KOREA,R2,KOR-NTC-12-R2-9,636 9,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,2,0.11,71.66
,KOREA,R2,KOR-NTC-12-R2-9,636 9,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,41,4.15,"2,431.30"
,KOREA,R2,KOR-NTC-12-R2-9,636 9,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,26,3.42,"2,223.00"
