Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
1/31/2024,KOREA,19,KOR-NTC-18 1,829,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,210,3.55,"2,272.20"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,200,4.88,"3,206.00"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,100,3.79,"2,560.00"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,70,3.43,"2,317.00"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,30,2.05,"1,392.00"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,22,2.22,"1,287.00"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,35,4.07,"2,510.20"
1/31/2024,KOREA,19,KOR-NTC-18 1,829,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,50,1.22,807
1/31/2024,KOREA,19,KOR-NTC-18 1,829,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,20,0.81,480.6
1/31/2024,KOREA,19,KOR-NTC-18 1,829,120302,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.68,464
