Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
30.01.2024,KOREA,,KOR-NTC-18,6000,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,750,12.68,"8,115.00"
30.01.2024,KOREA,,KOR-NTC-18,6000,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,350,8.54,5610.5
30.01.2024,KOREA,,KOR-NTC-18,6000,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,180,6.82,4608
30.01.2024,KOREA,,KOR-NTC-18,6000,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,130,6.37,4303
30.01.2024,KOREA,,KOR-NTC-18,6000,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,80,5.46,3712
30.01.2024,KOREA,,KOR-NTC-18,6000,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,129,10.29,6437.1
30.01.2024,KOREA,,KOR-NTC-18,6000,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,400,40.44,23400
30.01.2024,KOREA,,KOR-NTC-18,6000,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,100,9.22,5635
30.01.2024,KOREA,,KOR-NTC-18,6000,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,90,10.46,6454.8
30.01.2024,KOREA,,KOR-NTC-18,6000,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,80,1.95,1291.2
30.01.2024,KOREA,,KOR-NTC-18,6000,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,30,1.47,1002
30.01.2024,KOREA,,KOR-NTC-18,6000,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,50,1.9,1299.5
30.01.2024,KOREA,,KOR-NTC-18,6000,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,20,0.81,480.6
30.01.2024,KOREA,,KOR-NTC-18,6000,120302,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.68,464
30.01.2024,KOREA,,KOR-NTC-18,6000,126302,23x10-12,NEXEN ALLPRO,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,16,1.28,804.96
30.01.2024,KOREA,,KOR-NTC-18,6000,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,15,1.41,855
30.01.2024,KOREA,,KOR-NTC-18,6000,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,20,2.02,1186
30.01.2024,KOREA,,KOR-NTC-18,6000,171302,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,72.5,0.1162,10,1.16,725
