Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,125002,7.00-12,ACHIEVER ,BLACK,CLIP,5,2 LAYER,47.3,0.0691,20,1.382,946
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,135002,28x9-15,ACHIEVER ,BLACK,CLIP,7,2 LAYER,60.3,0.1024,10,1.024,603
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,137242,8.25-15 (Wide),ACHIEVER ,BLACK,CLIP,5.5,2 LAYER,92.7,0.1232,10,1.232,927
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,102161,5.00-8  (Wide),ACHIEVER PLUS,BLACK,STD,3,3  LAYER,17.4,0.0263,60,1.578,1044
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,111161,6.00-9  (Wide),ACHIEVER PLUS,BLACK,STD,4,3  LAYER,26.4,0.0383,60,2.298,1584
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3  LAYER,127.2,0.204,24,4.896,3052.8
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,153161,10.00-20 (Wide),ACHIEVER PLUS,BLACK,STD,7.5,3  LAYER,167.3,0.2622,18,4.7196,3011.4
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,154161,10.00-20 (Wide),ACHIEVER PLUS,BLACK,STD,8,3  LAYER,167.8,0.2622,15,3.933,2517
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3  LAYER,204.7,0.3074,4,1.2296,818.8
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3  LAYER,10,0.0179,30,0.537,300
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,111162,6.00-9  (Wide),ACHIEVER PLUS,BLACK,CLIP,4,3  LAYER,26.8,0.0383,10,0.383,268
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,23.9,0.0388,50,1.94,1195
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,141012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3  LAYER,58.2,0.0943,8,0.7544,465.6
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,137162,8.25-15  (Wide),ACHIEVER PLUS,BLACK,CLIP,5.5,3  LAYER,89.7,0.1358,16,2.1728,1435.2
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,138162,8.25-15  (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,91.5,0.1358,11,1.4938,1006.5
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,139162,300-15  (Wide),ACHIEVER PLUS,BLACK,CLIP,8,3  LAYER,109.2,0.1701,10,1.701,1092
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,136012,28x12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3  LAYER,83.6,0.1354,7,0.9478,585.2
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,103164,16x6-8  (Wide),ACHIEVER PLUS,NM,CLIP,4.33,3  LAYER,16.1,0.0257,8,0.2056,128.8
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,10,0.259,171
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,103042,16x6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,10,0.263,164
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,10,0.316,206
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,133052,2.50-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.3,0.1149,10,1.149,673
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,136052,28x12 1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,4,0.546,306.4
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,163321,33x12-20 - With Aperture,SKIDSOLID,BLACK,STD,7.5,2 LAYER,87.8,0.1981,12,2.3772,1053.6
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,187262,13.00-24,TELESOLID,BLACK,CLIP,8.5,3 LAYER,294,0.499,4,1.996,1176
20/8/2025,UK-RECY,167,UK - RTL- ORDER 63,1248,188262,14.00-24,TELESOLID,BLACK,CLIP,10,3 LAYER,374,0.601,4,2.404,1496
