Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.5,0.0666,10,0.666,465
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.026,30,0.78,513
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.3,0.039,20,0.78,526
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0314,100,3.14,2060
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0184,16,0.2944,161.6
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,100,3.94,2280
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0527,110,5.797,3872
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0653,20,1.306,894
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1054,120,12.648,8304
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,101044,15x4.5-8,RUNNERSOLID,NM - Lt Beige,CLIP,3,3 LAYER,10.3,0.1728,40,6.912,412
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,110044,140/55-9,RUNNERSOLID,NM - Lt Beige,CLIP,4,3 LAYER,10.2,0.0184,60,1.104,612
7/11/2025,POL-WDS,131,POL-WDS-ORDER 27,1212,118044,200/50-10,RUNNERSOLID,NM - Lt Beige,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.788,462
