Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,111241,6.00-9 (Wide),ACHIEVER ,BLACK,STD,4,2 LAYER,27.1,0.0383,11,0.4213,298.1
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,125001,7.00-12,ACHIEVER ,BLACK,STD,5,2 LAYER,46.8,0.0691,20,1.382,936
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,104002,18x7-8,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.606,418
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,111242,6.00-9 (Wide),ACHIEVER ,BLACK,CLIP,4,2 LAYER,27.3,0.0383,8,0.3064,218.4
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,137242,8.25-15 (Wide),ACHIEVER ,BLACK,CLIP,5.5,2 LAYER,92.7,0.1358,20,2.716,1854
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,138242,8.25-15 (Wide),ACHIEVER ,BLACK,CLIP,6.5,2 LAYER,94,0.1358,10,1.358,940
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3  LAYER,26.4,0.0383,100,3.83,2640
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3  LAYER,35.2,0.0508,100,5.08,3520
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3  LAYER,20.9,0.0303,100,3.03,2090
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3  LAYER,10,0.0179,27,0.4833,270
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,23.9,0.0388,20,0.776,478
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3  LAYER,35.4,0.0508,100,5.08,3540
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,46.5,0.068,19,1.292,883.5
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,138162,8.25-15 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3  LAYER,91.5,0.1358,11,1.4938,1006.5
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3  LAYER,65.2,0.1049,20,2.098,1304
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,136012,28x12 1/2 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3  LAYER,83.6,0.1354,10,1.354,836
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,119041, 6.50-10 ,RUNNERSOLID, BLACK , STD ,5,3 LAYER,34.8,0.0523,17,0.8891,591.6
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,125041, 7.00-12 ,RUNNERSOLID, BLACK , STD ,5,3 LAYER,46.9,0.0725,20,1.45,938
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.788,456
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.051,692
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,101044,15x4.5-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,20,0.342,206
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.2,0.0267,10,0.267,192
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,730071,16 1/4x7x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.2,0.0312,50,1.56,1110
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,10,0.328,228
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,709072,16 1/4x6x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,18.2,0.0267,9,0.2403,163.8
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,730072,16 1/4x7x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,20.9,0.0312,100,3.12,2090
7/14/2025,UK-RECY,132,UK/RTL- ORDER 61,1213,716072,18x8x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,30.1,0.0437,16,0.6992,481.6
