Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
07.03.2024,USA-OSF,54,USA OSF-09 ,867,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,20,0.78,532
07.03.2024,USA-OSF,54,USA OSF-09 ,867,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696
07.03.2024,USA-OSF,54,USA OSF-09 ,867,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.7,0.0725,20,1.45,934
07.03.2024,USA-OSF,54,USA OSF-09 ,867,120042,23 X 9 - 10 ,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,10,0.66,447
07.03.2024,USA-OSF,54,USA OSF-09 ,867,126042,23 X 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,10,0.76,471.00
07.03.2024,USA-OSF,54,USA OSF-09 ,867,127042,27 X 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.05,692
07.03.2024,USA-OSF,54,USA OSF-09 ,867,135051,28 X 9 - 15 ,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,6,0.64,355.80
07.03.2024,USA-OSF,54,USA OSF-09 ,867,139051,3.00 - 15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,5,0.86,537
07.03.2024,USA-OSF,54,USA OSF-09 ,867,133052,250 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,10,1.15,671.00
07.03.2024,USA-OSF,54,USA OSF-09 ,867,136052,355/45-15 (28 X 12 1/2 - 15),ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,20,2.73,"1,542.00"
07.03.2024,USA-OSF,54,USA OSF-09 ,867,178042,355/50-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,89.6,0.1495,20,2.99,"1,792.00"
07.03.2024,USA-OSF,54,USA OSF-09 ,867,139052,3.00 - 15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,6,1.03,651
07.03.2024,USA-OSF,54,USA OSF-09 ,867,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,10,2.02,"1,280.00"
07.03.2024,USA-OSF,54,USA OSF-09 ,867,704071,14 x 4 1/2 x 8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,20,0.3,240
07.03.2024,USA-OSF,54,USA OSF-09 ,867,710071,16 x 5 x 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,10,0.22,163
07.03.2024,USA-OSF,54,USA OSF-09 ,867,711071,16 X 6 X 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,10,0.26,196
07.03.2024,USA-OSF,54,USA OSF-09 ,867,714071,18 X 6 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,10,0.33,228
07.03.2024,USA-OSF,54,USA OSF-09 ,867,716071,18 X 8 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,30,1.31,927
07.03.2024,USA-OSF,54,USA OSF-09 ,867,721071,22 X 12 X 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,25,2.45,"1,622.50"
07.03.2024,USA-OSF,54,USA OSF-09 ,867,738071,28 X 12 X 22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,10,1.55,835
07.03.2024,USA-OSF,54,USA OSF-09 ,867,704072,14 x 4 1/2 x 8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,11.9,0.0149,10,0.15,119
07.03.2024,USA-OSF,54,USA OSF-09 ,867,709072,16 1/4 x 6 x 11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0267,30,0.8,573
07.03.2024,USA-OSF,54,USA OSF-09 ,867,710072,16 x 5 x 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,15.9,0.0216,10,0.22,159
07.03.2024,USA-OSF,54,USA OSF-09 ,867,711072,16 X 6 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,40,1.04,764
07.03.2024,USA-OSF,54,USA OSF-09 ,867,714072,18 X 6 X 12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,10,0.33,225
07.03.2024,USA-OSF,54,USA OSF-09 ,867,716072,18 X 8 X 12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,30.1,0.0437,10,0.44,301
07.03.2024,USA-OSF,54,USA OSF-09 ,867,719072,21 X 7 X 15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,30,1.56,"1,041.00"
07.03.2024,USA-OSF,54,USA OSF-09 ,867,720072,21 X 8 X 15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,40,0.0594,16,0.95,640
07.03.2024,USA-OSF,54,USA OSF-09 ,867,721072,22 X 12 X 16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,63.3,0.0979,8,0.78,506.4
07.03.2024,USA-OSF,54,USA OSF-09 ,867,710073,16 x 5 x 10 1/2,RUNNERBAND,NON-MARKER,SMOOTH,-,2 LAYER,16.3,0.0216,41,0.89,668.3
07.03.2024,USA-OSF,54,USA OSF-09 ,867,716073,18 X 8 X 12 1/8,RUNNERBAND,NON-MARKER,SMOOTH,-,2 LAYER,31.1,0.0437,1,0.04,31.1
