Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,152221,10.00-20 (CW) ,ACHIEVER,BLACK,STD,7,2 LAYER,191.5,0.246,24,5.90,"4,596.00"
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,156221,12.00-20 (CW),ACHIEVER,BLACK,STD,8.5,2 LAYER,252.9,0.3074,8,2.46,"2,023.20"
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,153001,10.00-20 ,ACHIEVER,BLACK,STD,7.5,2 LAYER,158.4,0.246,0,0,  -   
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,177001,12.00-24,ACHIEVER,BLACK,STD,8.5,2 LAYER,247.7,0.39,8,3.12,"1,981.60"
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,104002,18 x 7 - 8  (180/70-8),ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,4,0.12,83.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,8,0.21,139.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,6,0.41,274.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,104012,18 x 7 - 8  (180/70-8),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,40,1.21,836
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,6,0.23,143.4
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,112162,21 x 8 - 9 (200/75-9) (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,34.8,0.049,6,0.29,208.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,4,0.2,141.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,120162,23 x 9 - 10 (225/75-10) (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,46.6,0.068,10,0.68,466
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,126012,23 x 10 - 12 (250/60-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,50.7,0.0774,6,0.46,304.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,135012,28 x 9 - 15 (8.15-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,12,1.23,723.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,127012,27 x 10 - 12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,4,0.43,293.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,6,0.41,276.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,20,2.72,"1,830.00"
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,139162,300 - 15(315/70-15)  (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,109.2,0.1701,4,0.68,436.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,136012,28 x 12.5 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,3,0.41,250.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,20,2.1,"1,304.00"
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.2,0.1852,6,1.11,745.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,4,0.11,68.4
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,3,0.15,102
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,103164,16 x 6 - 8     (150/75-8)(WIDE),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,16.1,0.0257,4,0.1,64.4
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,104014,18 x 7 - 8  180/70-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,30,0.91,612
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,119164,6.50-10 (WIDE),ACHIEVER PLUS,NM,CLIP,5,3 LAYER ,34.5,0.0508,4,0.2,138
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,120164,23 x 9 - 10 (225/75-10) (WIDE),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,45.3,0.068,2,0.14,90.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER ,17.1,0.0259,4,0.1,68.4
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,10.1,0.0171,6,0.1,60.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,102042,5.00-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,17.4,0.0259,4,0.1,69.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,104042,18 x 7 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,20.6,0.0316,20,0.63,412
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.1,0.0186,12,0.22,121.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER ,22.8,0.0394,4,0.16,91.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER ,35.2,0.0523,4,0.21,140.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,126042,23 x 10 - 12 (250/60-12),RUNNERSOLID,BLACK,CLIP,8,3 LAYER ,47.1,0.0774,2,0.15,94.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,136042,28 x 12.5 - 15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER ,76.9,0.1365,2,0.27,153.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,178042,355/50-15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER ,89.1,0.14,2,0.28,178.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER ,10.3,0.0171,2,0.03,20.6
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER ,10.2,0.0186,6,0.11,61.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,104044,18 x 7 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER ,20.6,0.0316,20,0.63,412
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER ,23.1,0.0394,8,0.32,184.8
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,706071,15 x 5 x 11 1/4 (381/127-286),RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,4,0.08,53.2
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.2,0.0312,2,0.06,44.4
8/23/2024,POLAND,161,POLAND-DIR-Order 12 (R),979,730073,16 1/4x7x11-1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER,22.3,0.0312,2,0.06,44.6
