Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,101161,15X4 1/2-8,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0161,8,0.13,77.6
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,102161,5.00 - 8,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,40,1.05,696
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,111161,6.00 - 9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,40,1.53,"1,056.00"
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,119161,6.50 - 10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,30,1.52,"1,056.00"
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,101162,15X4 1/2-8,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,10,0.16,99
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,103162,16X6-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,10,0.26,166
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,10,0.3,209
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,118012,200/50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,10,0.39,239
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,119162,6.50 - 10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,10,0.51,354
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,120162,23X9-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,10,0.68,466
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,126012,23X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,10,0.77,507
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,135012,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,8,0.82,482.4
7/18/2024,POL-4XT,137,POL-4XT (Order 05)-WDT ORDER 07,953,137162,8.25 - 15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,88,0.1358,4,0.54,352
