Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/5/2024,USA-RRL,91,RRL ORDER 24,904,711071,16x6x10 1/2,RUNNERBAND,-,BLACK,SMOOTH,2 LAYER,19.6,0.0259,60,1.554,1176
7/5/2024,USA-RRL,91,RRL ORDER 24,904,715071,18x7x12 1/8,RUNNERBAND,-,BLACK,SMOOTH,2 LAYER,26.3,0.0382,40,1.528,1052
7/5/2024,USA-RRL,91,RRL ORDER 24,904,717071,18x9x12 1/8,RUNNERBAND,-,BLACK,SMOOTH,2 LAYER,34.4,0.0491,60,2.946,2064
7/5/2024,USA-RRL,91,RRL ORDER 24,904,722071,22x8x16,RUNNERBAND,-,BLACK,SMOOTH,2 LAYER,42.9,0.0652,30,1.956,1287
7/5/2024,USA-RRL,91,RRL ORDER 24,904,721071,22x12x16,RUNNERBAND,-,BLACK,SMOOTH,2 LAYER,64.9,0.0979,20,1.958,1298
7/5/2024,USA-RRL,91,RRL ORDER 24,904,712072,16x7x10 1/2,RUNNERBAND,-,BLACK,TRACTION,2 LAYER,21.6,0.0302,30,0.906,648
7/5/2024,USA-RRL,91,RRL ORDER 24,904,714072,18x6x12 1/8,RUNNERBAND,-,BLACK,TRACTION,2 LAYER,22.5,0.0328,30,0.984,675
7/5/2024,USA-RRL,91,RRL ORDER 24,904,715072,18x7x12 1/8,RUNNERBAND,-,BLACK,TRACTION,2 LAYER,25.6,0.0382,50,1.91,1280
7/5/2024,USA-RRL,91,RRL ORDER 24,904,719072,21x7x15,RUNNERBAND,-,BLACK,TRACTION,2 LAYER,34.7,0.052,60,3.12,2082
7/5/2024,USA-RRL,91,RRL ORDER 24,904,721072,22x12x16,RUNNERBAND,-,BLACK,TRACTION,2 LAYER,63.3,0.0979,20,1.958,1266
7/5/2024,USA-RRL,91,RRL ORDER 24,904,709073,16 1/4x6x11 1/4,RUNNERBAND,-,NM ,SMOOTH,2 LAYER,19.2,0.0312,20,1.872,1152
7/5/2024,USA-RRL,91,RRL ORDER 24,904,714073,18x6x12 1/8,RUNNERBAND,-,NM ,SMOOTH,2 LAYER,23,0.0328,30,0.984,690
7/5/2024,USA-RRL,91,RRL ORDER 24,904,715073,18x7x12 1/8,RUNNERBAND,-,NM ,SMOOTH,2 LAYER,26.6,0.0382,60,2.292,1596
7/5/2024,USA-RRL,91,RRL ORDER 24,904,708074,16 1/4x5x11 1/4,RUNNERBAND,-,NM ,TRACTION,2 LAYER,15.7,0.0223,60,1.338,942
7/5/2024,USA-RRL,91,RRL ORDER 24,904,738074,28x12x22,RUNNERBAND,-,NM,TRACTION,2 LAYER,81.4,0.1545,5,0.7725,407
