Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,120244,23x9-10 (WIDE),ACHIEVER ,NM Off-White,CLIP,6.5,2 LAYER,47,0.068,10,0.68,470
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,125004,7.00 - 12,ACHIEVER,NM Off-White,CLIP,5,2 LAYER,47.2,0.0691,4,0.2764,188.8
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,152221,10.00-20 (CW),ACHIEVER ,BLACK,STD,7,2 LAYER,205.4,0.246,20,4.92,4108
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,156221,12.00-20 (CW),ACHIEVER ,BLACK,STD,8.5,2 LAYER,262.4,0.3074,8,2.4592,2099.2
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,119041,6.50-10 ,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,40,2.092,1392
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,125044,7.00 - 12,RUNNERSOLID,NM Lt-Cream,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,138054,8.25-15,ROCKSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,89.8,0.1385,40,5.54,3592
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,133054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7,3 LAYER,68.1,0.1149,50,5.745,3405
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,134054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7.5,3 LAYER,68.3,0.1127,4,0.4508,273.2
29/04/2024,RUS-TLL,86,RUSSIA OREDR - 17,899,139054,3.00-15,ROCKSOLID,NM Lt-Cream,CLIP,8,3 LAYER,109.3,0.1711,40,6.844,4372
