Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,152221,10.00-20 (CW),ACHIEVER ,BLACK,STD,7,2 LAYER,205.4,0.246,28,6.89,"5,751.20"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,156001,12.00-20,ACHIEVER ,BLACK,STD,8.5,2 LAYER,207.4,0.3074,6,1.84,"1,244.40"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,103003,16x6-8 ,ACHIEVER ,NM Off-White,STD,4.33,2 LAYER,15.8,0.0257,30,0.771,474
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,104003,18 x 7 - 8 ,ACHIEVER ,NM Off-White,STD,4.33,2 LAYER,21,0.0303,10,0.303,210
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,119244,6.50-10 (WIDE),ACHIEVER ,NM Off-White,CLIP,5,2 LAYER,36.2,0.0508,34,1.727,"1,230.80"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,50,0.86,535
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,103041,16x6-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.2,0.0263,20,0.526,324
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,119041,6.50-10 ,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,40,2.092,"1,392.00"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,178042,355/50-15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER,89.1,0.021,4,0.084,356.4
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,125043,7.00-12,RUNNERSOLID,NM Lt-Cream,STD,5,3 LAYER,46.8,0.0725,20,1.45,936
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,120044,23x9-10 ,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,44.8,0.0657,10,0.657,448
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,118044,200/50-10,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,23.1,0.0394,40,1.576,924
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,125044,7.00-12,RUNNERSOLID,NM Lt-Cream,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,178044,355/50-15,RUNNERSOLID,NM Lt-Cream,CLIP,9.75,3 LAYER,89.1,0.021,4,0.084,356.4
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,30,3.192,"1,779.00"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,10,1.064,602
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,10,1.711,"1,085.00"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,133054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7,3 LAYER,68,0.1149,10,1.149,680
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,139054,3.00-15,ROCKSOLID,NM Lt-Cream,CLIP,8,3 LAYER,109.3,0.1711,10,1.711,"1,093.00"
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,10,0.312,223
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,739071,28x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,99.1,0.1803,2,0.361,198.2
7/29/2024,RUS-TLL,144,RUSSIA OREDR - 19,961,180221,10.00-20 ,ACHIEVER (CW) SPACER,BLACK,-,7,-,28.5,0.04,14,0.56,399
