Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,143011,7.50-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,67.3,0.1107,4,0.44,269.2
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,80,2.07,"1,368.00"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.57,"1,044.00"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,102042,5.00 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,28,0.73,487.2
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,20,0.78,538
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,30,1.57,"1,056.00"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,8,0.58,380
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.38,225.2
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,166357,31x10-20 (WAP) CW,SKID SOLID,BLACK,CLIP - Left,7.5,2 LAYER,110.8,0.1446,12,1.74,"1,329.60"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,166358,31x10-20 (WAP) CW,SKID SOLID,BLACK,CLIP - Right,7.5,2 LAYER,110.8,0.1446,12,1.74,"1,329.60"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,163357,33x12-20 (WAP) CW,SKID SOLID,BLACK,CLIP - Left,7.5,2 LAYER,137.5,0.1982,4,0.79,550
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,163358,33x12-20 (WAP) CW,SKID SOLID,BLACK,CLIP - Right,7.5,2 LAYER,137.5,0.1982,4,0.79,550
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,152491,10.00-20 WIDE (Complete Wheels),ACHIEVER ,BLACK,STD,7,2 LAYER,205.6,0.246,16,3.94,"3,289.60"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,156221,12.00-20 (Complete Wheels),ACHIEVER ,BLACK,STD,8.5,2 LAYER,262.4,0.3074,32,9.84,"8,396.80"
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,180481,10.00-20,ACHIEVER WIDE (CW) SPACER,BLACK,-,7,-,28.5,0.053,8,0.42,228
7/26/2024,RUS-TYL,126,"TYL OREDR 09	",942,182221,12.00-20,ACHIEVER (CW) SPACER,BLACK,-,8.5,-,29,0.065,16,1.04,464
