Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19-06-2024,RUS-TLL,122,RUSSIA OREDR - 18,938,103001,16x6-8 ,ACHIEVER ,BLACK,STD,4.33,2 LAYER,15.8,0.0257,20,0.514,316
19-06-2025,RUS-TLL,122,RUSSIA OREDR - 18,938,104004,18 x 7 - 8 ,ACHIEVER ,NM Off-White,CLIP,4.33,2 LAYER,21,0.0303,20,0.606,420
19-06-2026,RUS-TLL,122,RUSSIA OREDR - 18,938,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,40,1.036,684
19-06-2027,RUS-TLL,122,RUSSIA OREDR - 18,938,119041,6.50-10 ,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,70,3.661,2436
19-06-2028,RUS-TLL,122,RUSSIA OREDR - 18,938,178042,355/50-15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER,89.1,0.021,4,0.084,356.4
19-06-2029,RUS-TLL,122,RUSSIA OREDR - 18,938,120044,23x9-10 ,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,44.8,0.0657,20,1.314,896
19-06-2030,RUS-TLL,122,RUSSIA OREDR - 18,938,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,30,3.192,1779
19-06-2031,RUS-TLL,122,RUSSIA OREDR - 18,938,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,10,1.064,602
19-06-2032,RUS-TLL,122,RUSSIA OREDR - 18,938,138054,8.25-15,ROCKSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,89.1,0.1385,60,8.31,5346
19-06-2033,RUS-TLL,122,RUSSIA OREDR - 18,938,133054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7,3 LAYER,68,0.1149,40,4.596,2720
19-06-2034,RUS-TLL,122,RUSSIA OREDR - 18,938,139054,3.00-15,ROCKSOLID,NM Lt-Cream,CLIP,8,3 LAYER,109.3,0.1711,40,6.844,4372
19-06-2035,RUS-TLL,122,RUSSIA OREDR - 18,938,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,10,0.312,223
