Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,104002,18x7-8 ,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,40,1.212,836
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,112002,21x8-9 ,ACHIEVER ,BLACK,CLIP,6,2 LAYER,34.2,0.0478,10,0.478,342
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,102243,5.00-8 (WIDE),ACHIEVER ,NM Off-White,STD,3,2 LAYER,17.8,0.0263,50,1.315,890
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,111243,6.00-9 (WIDE),ACHIEVER ,NM Off-White,STD,4,2 LAYER,27.1,0.0383,20,0.766,542.00
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,119243,6.50-10 (WIDE),ACHIEVER ,NM Off-White,STD,5,2 LAYER,35.9,0.0508,80,4.064,"2,872.00"
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,125003,7.00-12,ACHIEVER ,NM Off-White,STD,5,2 LAYER,46.8,0.0691,20,1.382,936
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,104004,18x7-8 ,ACHIEVER ,NM Off-White,CLIP,4.33,2 LAYER,21,0.0303,20,0.606,420
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,156221,12.00-20 (CW),ACHIEVER ,BLACK,STD,8.5,2 LAYER,262.4,0.3074,12,3.689,"3,148.80"
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,103012,16x6-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,16,0.39,256
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,101164,15x 4 1/2-8 (WIDE),ACHIEVER PLUS,NM Off-White,CLIP,3,3 LAYER,9.7,0.0161,30,0.483,291
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,110014,140/55-9,ACHIEVER PLUS,NM Off-White,CLIP,4,3 LAYER,9.85,0.0179,50,0.895,492.50
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,156231,12.00-20 (CW),ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,259.7,0.3074,2,0.615,519.4
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,60,1.032,642
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,101042,15x 4 1/2-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,9.7,0.0161,40,0.644,388
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,104042,18x7-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,40,1.264,824
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,112042,21x8-9 ,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,20,0.988,670
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,10,1.385,889
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,15,2.567,"1,636.50"
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,136054,28x12 1/2 -15 ,ROCKSOLID,NM Lt-Cream,CLIP,9.75,3 LAYER,77.7,0.1365,4,0.546,310.8
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,156431,12.00-20 (CW),ROCKSOLID,BLACK,STD,8.5,3 LAYER,259,0.3327,8,2.662,"2,072.00"
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,4,0.066,49.6
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,717071,18X9X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.4,0.0491,10,0.491,344
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,4,0.261,171.6
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,742071,22x14x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,77.4,0.1142,2,0.228,154.8
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,740071,28x10x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,69.5,0.1288,1,0.129,69.5
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,182221,12.00-20,ACHIEVER (CW) SPACER,BLACK,,8.5,,29,0.04,6,0.24,174
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,182231,12.00-20,ACHIEVER PLUS (CW) SPACER,BLACK,,8.5,,29,0.04,1,0.04,29
08.03.2024,RUS-TLL,35,RUSSIA OREDR - 15 (R3),847,182431,12.00-20,ROCKSOLID (CW) SPACER,BLACK,-,8.5,-,29,0.04,4,0.16,116
