Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,101002,15 x 4.5 - 8 (3.00)  ACHIEVER BLACK CLIP,,,,,,,,30,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,103002,16 x 6 - 8 (4.33)  ACHIEVER BLACK CLIP,,,,,,,,30,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,103012,16 x 6 - 8 (4.33)  ACHIEVER PLUS BLACK CLIP,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,104002,18 x 7 - 8 (4.33)  ACHIEVER BLACK CLIP,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,104012,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK CLIP,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,110002,140/55 x 9 (4.00)  ACHIEVER BLACK CLIP,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,110042,140/55 - 9 ATIRE RUNNER SOLID BLACK CLIP,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,111001,6.00 - 9 (4.00)  ACHIEVER BLACK STD,,,,,,,,50,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,111011,6.00 - 9 (4.00)  ACHIEVER PLUS BLACK STD,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,119001,6.50 - 10 (5.00)  ACHIEVER BLACK STD,,,,,,,,60,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,119002,6.50 - 10 (5.00)  ACHIEVER BLACK CLIP,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,119011,6.50 - 10 (5.00)  ACHIEVER PLUS BLACK STD,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,119012,6.50 - 10 (5.00)  ACHIEVER PLUS BLACK CLIP,,,,,,,,40,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,125001,7.00 - 12 (5.00)  ACHIEVER BLACK STD,,,,,,,,60,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,125002,7.00 - 12 (5.00)  ACHIEVER BLACK CLIP,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,127002,27 x 10 - 12 (8.00)  ACHIEVER BLACK CLIP,,,,,,,,10,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,127042,27 x 10 - 12 ATIRE RUNNER SOLID BLACK CLIP,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,133051,2.50-15 (7.00) ATIRE ROCKSOLID BLACK STD,,,,,,,,10,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,134012,2.50 - 15 (7.50) ACHIEVER PLUS BLACK CLIP,,,,,,,,10,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,137012,8.25 - 15 (5.50)  ACHIEVER PLUS BLACK CLIP,,,,,,,,8,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,138012,8.25 - 15 (6.50)  ACHIEVER PLUS BLACK CLIP,,,,,,,,20,,
1/4/2023,Recy Traders -,,Recy Traders - Fitting Business - Container Order - 05,4000,715071,18 x 7 x 121/8 ATIRE RUNNERBAND BLACK SMOOTH,,,,,,,,40,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
