Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,40,1.212,832
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,111241,6.00-9 (Wide wall),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0383,30,1.149,813
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,100,5.08,3580
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,50,3.455,2340
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,20,2.048,1192
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,136001,28x12 1/2-15 (355/45/15),ACHIEVER,BLACK,STD,9.75,2 LAYER,84.4,0.1354,4,0.542,337.6
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,156001,1200-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,19,5.841,3940.6
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,135002,28X9-15 (8.15-15),ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,6,0.614,361.8
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,739071,28x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,99.1,0.1803,2,0.361,198.2
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,708072,16 1/4x5x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,15.5,0.0223,6,0.134,93
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,715072,18x7x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,25.6,0.0382,6,0.229,153.6
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,722072,22x8x16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,42,0.0652,4,0.261,168
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,721072,22x12x16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,63.3,0.0979,6,0.587,379.8
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,738072,28x12x22,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,81.5,0.1545,4,0.618,326
5/14/2024,SIN-ENG-HUAT,90,SIN-ENG-HUAT - ORDER 5 (R2),903,712074,16x7x10 1/2,RUNNERBAND,NM,TRACTION,-,2 LAYER,21.6,0.0302,6,0.181,129.6
