Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,30,0.909,624
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,111241,6.00-9 (Wide wall),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0383,20,0.766,542
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,70,3.556,2506
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,40,2.764,1872
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,20,2.048,1192
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,156001,1200-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,19,5.8406,3940.6
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,135002,"28X9-15, 8.15-15",ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,6,0.6144,361.8
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,708072,16 1/4x5x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,15.5,0.0223,6,0.1338,93
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,715072,18x7x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,25.6,0.0382,6,0.2292,153.6
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,722072,22x8x16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,42,0.0652,4,0.2608,168
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,721072,22x12x16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,63.3,0.0979,6,0.5874,379.8
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,738072,28x12x22,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,81.5,0.1545,4,0.618,326
7/5/2024,SIN-ENG-HUAT ,90,SIN-ENG-HUAT - ORDER 5,903,712074,16x7x10 1/2,RUNNERBAND,NM,TRACTION,-,2 LAYER,21.6,0.0302,6,0.1812,129.6
