date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,103041,16 x 6 - 8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.4,0.0263,10,0.26,164
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,10,0.32,205
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,50,1.95,"1,340.00"
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,26,1.36,907.4
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,26,1.89,"1,219.40"
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,46,1.45,956.8
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.39,231
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,20,1.05,706
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,20,1.45,956
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,10,1.05,696
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,14,1.46,821.8
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,14,1.58,922.6
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,134042,250-15,RUNNERSOLID,BLACK,CLIP,7.5,3 LAYER,66.3,0.1149,4,0.46,265.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,11,1.85,"1,175.90"
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,102043,5.00-8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,10,0.26,172
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.8,0.0316,10,0.32,208
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,103044,16 x 6 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.8,0.0263,10,0.26,168
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,50,1.58,"1,050.00"
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.4,0.0394,10,0.39,234
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,112044,21x8-9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,4,0.2,135.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,120044,23x9-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,4,0.26,179.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,125044,7.00-12,RUNNERSOLID,NM,CLIP,5,3 LAYER,48.1,0.0725,4,0.29,192.4
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0476,10,0.48,475
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,127044,27x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,70.3,0.1051,4,0.42,281.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,135044,28x9-15,RUNNERSOLID,NM,CLIP,7,3 LAYER,58.8,0.1041,4,0.42,235.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,134044,250-15,RUNNERSOLID,NM,CLIP,7.5,3 LAYER,67.7,0.1149,2,0.23,135.4
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,153051,10.00-20,ROCKSOLID,BLACK,STD,7.5,3 LAYER,168.3,0.279,4,1.12,673.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,156051,12.00-20,ROCKSOLID,BLACK,STD,8.5,3 LAYER,211,0.3327,3,1,633
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,170051,14.00-24,ROCKSOLID,BLACK,STD,10,3 LAYER,368.8,0.5767,7,4.04,"2,581.60"
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,136052,28x12 1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.4,0.1365,8,1.09,619.2
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,8,1.11,713.6
05.07.2023,SPAIN,132,SPA-GTI-Order 14,634,170051,14.00-24,ROCKSOLID,BLACK,STD,10,3 LAYER,368.8,0.5767,1,0.58,368.8
