Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,60,2.34,"1,596.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,40,2.09,"1,392.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.32,203
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,112041,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33,0.0494,4,0.2,132
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.7,0.0725,40,2.9,"1,868.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,101042,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,30,0.51,303
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,30,0.79,492.00
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,50,1.58,"1,030.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,20,1.05,704
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,20,1.45,950
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.7,0.1127,10,1.13,657.00
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1682,10,1.68,"1,064.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,102043,5.00-8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,10,0.26,172
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.8,0.039,9,0.35,241.2
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,125043,7.00-12,RUNNERSOLID,NM,STD,5,3 LAYER,47.9,0.0725,4,0.29,191.6
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,101044,15 x 4 1/2 - 8 ,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,50,0.86,515.00
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,60,1.12,624.00
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,103044,16 x 6 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,30,0.79,498
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,50,1.58,"1,035.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,60,2.36,"1,392.00"
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,120044,23x9-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,5,0.33,224
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,125044,7.00-12,RUNNERSOLID,NM,CLIP,5,3 LAYER,48.1,0.0725,4,0.29,192.4
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,0,0,  -   
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,8,1.11,711.2
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,10,1.06,602
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,709072,16 1/4 x 6 x 11 1/2  ,RUNNERBAND,BLACK ,TRACTION,-,2 LAYER,19.1,0.0267,4,0.11,76.4
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,730072,16 1/4 x 7 x 11 1/2  ,RUNNERBAND,BLACK ,TRACTION,-,2 LAYER,20.9,0.0312,4,0.12,83.6
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,165327,31x10-16 (LEFT),SKIDSOLID,BLACK,CLIP-LEFT,6,2 LAYER,74.3,0.1446,2,0.29,148.6
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,165328,31x10-16 (RIGHT),SKIDSOLID,BLACK,CLIP-RIGHT,6,2 LAYER,74.3,0.1446,2,0.29,148.6
4/5/2024,SPAIN,74,SPA-GTI-Order 18,887,744071,40x20-30,RUNNERBAND,BLACK ,SMOOTH,-,2 LAYER,288.8,0.5244,6,3.15,"1,732.80"
