Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
2023.10.23,STOCK Order,0,Stock Order,1000,156001,12.00 - 20 (8.50)  ACHIEVER BLACK STD,,,,,,,,10,,
2023.10.23,STOCK Order,0,Stock Order,1000,110042,140/55 x 9 (4.00) ATIRE RUNNER SOLID  BLACK CLIP,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,101002,15 x 4.5 - 8 (3.00)  ACHIEVER BLACK CLIP,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,101162,15 x 4.5 - 8 (3.00)  ACHIEVER PLUS (WIDE ) BLACK CLIP,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,,28,,
2023.10.23,STOCK Order,0,Stock Order,1000,711071,16 x 6 x 10 1/2 ATIRE RUNNER BAND BLACK SM,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,104002,18 x 7 - 8 (4.33)  ACHIEVER BLACK CLIP,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,104011,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,104014,18 x 7 - 8 (4.33)  ACHIEVER PLUS NM CLIP,,,,,,,,20,,
2023.10.23,STOCK Order,0,Stock Order,1000,104042,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID  BLACK CLIP,,,,,,,,40,,
2023.10.23,STOCK Order,0,Stock Order,1000,118002,200/50 - 10 (6.50)  ACHIEVER BLACK CLIP,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,719071,21 x 7 x 15 ATIRE RUNNER BAND BLACK SM,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,139012,300 - 15 (8.00)  ACHIEVER PLUS BLACK CLIP,,,,,,,,10,,
2023.10.23,STOCK Order,0,Stock Order,1000,139052,300 - 15 (8.00) ATIRE ROCK SOLID  BLACK CLIP,,,,,,,,20,,
2023.10.23,STOCK Order,0,Stock Order,1000,139042,300 - 15 (8.00) ATIRE RUNNER SOLID  BLACK CLIP,,,,,,,,10,,
2023.10.23,STOCK Order,0,Stock Order,1000,102161,5.00 - 8 (3.00)  ACHIEVER PLUS (WIDE) BLACK STD,,,,,,,,23,,
2023.10.23,STOCK Order,0,Stock Order,1000,111001,6.00 - 9 (4.00)  ACHIEVER BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,111011,6.00 - 9 (4.00)  ACHIEVER PLUS BLACK STD,,,,,,,,30,,
2023.10.23,STOCK Order,0,Stock Order,1000,111161,6.00 - 9 (4.00)  ACHIEVER PLUS (WIDE)  BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,119241,6.50 - 10 (5.00)  ACHIEVER ( WIDE ) BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,119161,6.50 - 10 (5.00)  ACHIEVER PLUS (WIDE ) BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,125011,7.00 - 12 (5.00)  ACHIEVER PLUS BLACK STD,,,,,,,,100,,
2023.10.23,STOCK Order,0,Stock Order,1000,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,,50,,
2023.10.23,STOCK Order,0,Stock Order,1000,135001,8.15 - 15 (28 x 9 - 15) (7.00)  ACHIEVER BLACK STD,,,,,,,,20,,
2023.10.23,STOCK Order,0,Stock Order,1000,139242,300 - 15 (8.00) ACHIEVER (WIDE) BLACK CLIP,,,,,,,,20,,
2023.10.23,STOCK Order,0,Stock Order,1000,139241,300 - 15 (8.00) ACHIEVER (WIDE) BLACK STD,,,,,,,,10,,
