Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/19/2024,RUS-TLL,122,Trainng work Order,2000,103003,16x6-8 ,ACHIEVER ,NM Off-White,STD,4.33,2 LAYER,15.8,0.0257,10,0.257,158
6/19/2024,RUS-TLL,122,Trainng work Order,2000,104003,18 x 7 - 8 ,ACHIEVER ,NM Off-White,STD,4.33,2 LAYER,21,0.0303,30,0.909,630
6/19/2024,RUS-TLL,122,Trainng work Order,2000,104004,18 x 7 - 8 ,ACHIEVER ,NM Off-White,CLIP,4.33,2 LAYER,21,0.0303,20,0.606,420
6/19/2024,RUS-TLL,122,Trainng work Order,2000,119244,6.50-10 (WIDE),ACHIEVER ,NM Off-White,CLIP,5,2 LAYER,36.2,0.0508,6,0.305,217.2
6/19/2024,RUS-TLL,122,Trainng work Order,2000,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.518,342
6/19/2024,RUS-TLL,122,Trainng work Order,2000,103041,16x6-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.2,0.0263,20,0.526,324
6/19/2024,RUS-TLL,122,Trainng work Order,2000,119041,6.50-10 ,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.569,"1,044.00"
6/19/2024,RUS-TLL,122,Trainng work Order,2000,120044,23x9-10 ,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,44.8,0.0657,10,0.657,448
6/19/2024,RUS-TLL,122,Trainng work Order,2000,125044,7.00-12,RUNNERSOLID,NM Lt-Cream,CLIP,5,3 LAYER,47.8,0.0725,6,0.435,286.8
6/19/2024,RUS-TLL,122,Trainng work Order,2000,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,10,1.711,"1,085.00"
6/19/2024,RUS-TLL,122,Trainng work Order,2000,138054,8.25-15,ROCKSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,89.1,0.1385,60,8.31,"5,346.00"
6/19/2024,RUS-TLL,122,Trainng work Order,2000,133054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7,3 LAYER,68,0.1149,30,3.447,"2,040.00"
6/19/2024,RUS-TLL,122,Trainng work Order,2000,139054,3.00-15,ROCKSOLID,NM Lt-Cream,CLIP,8,3 LAYER,109.3,0.1711,30,5.133,"3,279.00"
6/19/2024,RUS-TLL,122,Trainng work Order,2000,180221,10.00-20 ,ACHIEVER (CW) SPACER,BLACK,-,7,-,28.5,0.04,10,0.4,285
6/19/2024,RUS-TLL,122,Trainng work Order,2000,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,87.9,0.1385,1,0.139,87.9
6/19/2024,RUS-TLL,122,Trainng work Order,2000,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,1,0.139,88.9
