Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,60,1.554,1026
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,40,1.56,1064
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.046,696
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,100,7.25,4690
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,133051,2.50-15,ROCKSOLID,BLACK,STD,7,3 LAYER,66.5,0.1149,30,3.447,1995
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,135051,8.15-15 (28x9-15),ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,30,3.192,1779
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,704071,14x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,20,0.298,240
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,706071,15x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,20,0.38,266
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,40,0.864,652
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,140,3.626,2744
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,140,7.28,4956
22-05-2024,USA - TMH,107,TMH-S ORDER 04,921,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,40,1.036,764
